商品名稱,品牌名稱,累積金額,商品單價,商品網址,商品規格,剩餘時間,集資期間(20221128 截止),集資開始,集資結束
【追覓 Dreame L10s Ultra｜全能掃拖旗艦機】7 合 1 全自動基座、5300Pa 業界最強吸力、雙旋式按壓濕拖、智慧拖布抬升，「真」旗艦全能掃拖機器人！,theAxiom 安德家品,86182501.0,25480.0,https://www.zeczec.com/projects/dreame-l10s-ultra-7-1,"追覓科技全新力作！完美集結 ▶︎ 自動集塵、補水、洗烘拖布、銀離子除菌，60 天倒一次垃圾...等多項功能，給你頂級規格，CP 值爆表的價格，真正實現解放雙手！,zeczec", 25 小時,2022/11/01 12:00 – 2022/11/29 13:00,2022/11/01 12:00:00,2022-11-29 13:00:00
【水洗濾網重複使用！超省錢！】新冠病毒99.99%抑制認證 x 大坪數小坪價 x 節能標章 x 淨化小至0.01um奈米級顆粒物 x UV殺菌 x SGS國際認證 x 語音聲控超方便,Apolnus 水洗濾網空氣清淨機,18271948.0,10380.0,https://www.zeczec.com/projects/apolnus,"濾網簡易清潔大升級，5~14坪空間靈活運用，獨家創新濾網技術、易水洗、無臭氧，實驗認證可過濾奈米顆粒，解決空氣清淨機使用上的痛點，真正空清機界的最強黑馬！,zeczec",11 天,2022/10/05 11:00 – 2022/12/08 23:59,2022/10/05 11:00:00,2022-12-08 23:59:00
❝ 𝘿𝙤𝙪𝙗𝙡𝙚 𝘽𝙤𝙭 蒸氣微波保鮮盒 ❞ 保鮮 - 料理 - 上桌，一步到位！,LiFE RiCH 富川創造,12473116.0,2950.0,https://www.zeczec.com/projects/double-box,"LiFE RiCH 富川創造全新力作！延續「可微波不鏽鋼」專利結構，結合獨家「蒸氣微波」技術，並升級氣密防漏、防燙隔熱、三款容量設計，讓保鮮、料理、上桌，一步到位！,zeczec",10 天,2022/09/21 12:00 – 2022/12/07 23:59,2022/09/21 12:00:00,2022-12-07 23:59:00
最後倒數 ⏰ 陸續出貨 🚛【眠朵雲 2.0 】恆溫深度釋壓枕｜業界最高枕心密度支撐，3 層科技布套打造吸濕／排汗／抗菌極致舒適感，陪你夜夜好眠,戀家小舖,11798189.0,2680.0,https://www.zeczec.com/projects/lovingfamily,"熱賣超過 15,000 顆的【眠朵雲】推出全新二代！領先業界 3 倍枕心密度，提供良好支撐與深層釋壓。3 層科技布套，則讓肌膚有最舒適的接觸感，一試就愛上！,zeczec",9 天,2022/10/12 21:00 – 2022/12/07 02:00,2022/10/12 21:00:00,2022-12-07 02:00:00
【WOKY –[●●] 渾圓杯｜最台吸管保溫杯】 770ml 超大容量！一杯暢飲全部外帶手搖,WOKY,11576924.0,840.0,https://www.zeczec.com/projects/woky-770ml,"由台灣手搖文化出發設計，有感升級開發770ml大容量結合獨家鈦陶瓷、封水結構、珍珠粗吸管、隱藏式手提及可替換止水豆設計，無畏各式飲品新口味搶攻市場，專為手搖控準備，一杯就足夠日常所需！,zeczec",3 天,2022/10/24 12:00 – 2022/12/01 23:59,2022/10/24 12:00:00,2022-12-01 23:59:00
【 Philips｜ADD6910 RO 純淨智慧飲水機 】3 秒瞬熱、免安裝，搭載 AquaShield 多合一 RO 過濾系統、UV-C 殺菌設計，雙重防護可過濾高達 99.9% 污染物，大口生飲，比煮沸更安心！,Philips,8648420.0,15900.0,https://www.zeczec.com/projects/philips-add6910,"搭載 AquaShield 多合一 RO 過濾系統 ，經SGS及BV等國際認證機構檢測，5層複合式濾芯，即濾即飲！3 秒瞬熱，4 公升大水箱，滿足全家飲水需求！,zeczec",7 天,2022/10/04 12:00 – 2022/12/05 23:59,2022/10/04 12:00:00,2022-12-05 23:59:00
【 xTool D1 Pro 20W 雷雕機 】王者歸來！歡迎來到頂規 20W 二極體雷射新世界⚡,Makeblock,8512820.0,43980.0,https://www.zeczec.com/projects/xtool-d1-pro-20w,"✨ 加倍快｜加倍強｜加倍準。硬實力，就是我的超能力！ 熱愛創作的你是否就差一台功率更強、創意不受限的雷雕機呢？,zeczec",10 天,2022/11/03 12:00 – 2022/12/08 02:00,2022/11/03 12:00:00,2022-12-08 02:00:00
GUARDAMPER 尬 顛 簸【 銀刃 】搖式挾持 4D 專業抗震手機架｜精緻工藝 × 便利快取 × 絕對抗震,尢口設計,7284492.0,2488.0,https://www.zeczec.com/projects/guardamper,"GUARDAMPER 尬顛簸 【 銀刃 】專利抗震 × 單手快取 × 精巧鋼骨｜台灣設計、製造，最值得你擁有的車用精品。,zeczec",39 天,2022/09/13 12:00 – 2023/01/06 23:59,2022/09/13 12:00:00,2023-01-06 23:59:00
倒數 1 天🔥【世界最小】三折式划船機｜因為懶，更要有效率的動！一次點燃全身 80% 肌肉,KingSmith,7213120.0,19800.0,https://www.zeczec.com/projects/kingsmith,"居家運動神隊友！超直覺操作＋低關節衝擊=連長輩都適用，心血管x肌肉訓練一機搞定。,zeczec", 13 小時,2022/10/06 20:00 – 2022/11/29 02:00,2022/10/06 20:00:00,2022-11-29 02:00:00
 Aries 快拆式大錐刀磨豆機 ｜83mm 3 秒快拆式鍍鈦錐刀，5 段式可調式研磨轉速，在家就能享受頂級精品咖啡風味,米克斯酷,7030300.0,28900.0,https://www.zeczec.com/projects/aries,"在家喝咖啡也能很享受。專為咖啡痴匠心打造的 Aries 磨豆機，獨家 3 秒刀盤快拆設計，結合 83mm 鍍鈦錐刀，為每一次磨豆留下最純粹風味，只留口齒餘香給您。,zeczec",31 天,2022/11/15 21:00 – 2022/12/29 23:59,2022/11/15 21:00:00,2022-12-29 23:59:00
Oladance 開放式無限耳機｜舒適通透＋劇院級立體環繞，配備 16.5 mm 超大單體的無重力音響！,Oladance.taiwan,6889641.0,3890.0,https://www.zeczec.com/projects/oladance,"【十年經驗 · 精心研發】打造最適合耳朵的工學耳機，零擠壓、零堵塞，自在享受細膩而有層次的震撼音質。16 小時長時續航，從早到晚貼身陪伴一整天。,zeczec",25 天,2022/11/22 12:00 – 2022/12/23 02:00,2022/11/22 12:00:00,2022-12-23 02:00:00
【週週抽好禮】CHIMEI奇美 瞬熱智慧溫控飲水機｜制霸市面瞬熱飲水機，容量、面板、規格、品質全面大升級，高貴不貴，一鍵瞬熱,CHIMEI 奇美家電,5534378.0,3680.0,https://www.zeczec.com/projects/chimei,"304不鏽鋼導熱出水管專利技術，完美克服瞬熱出水難題，SGS認證不含雙酚A安全大容量水箱，5層淨化TÜV認證專業濾心，6大安全保護，免擔心乾燒、跳電、過熱等問題，讓你一鍵瞬熱，安心飲水。,zeczec",11 天,2022/10/26 10:30 – 2022/12/09 23:59,2022/10/26 10:30:00,2022-12-09 23:59:00
