projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end
MiniBle X 微氣泡起波器｜清潔、除菌、去農殘，一顆搞定｜家用微氣泡革命，居家用水品質大升級！,HerherS和荷時際,3782552,1750,https://www.zeczec.com//projects/minible-x,"從台灣開始，我們想要繼續照顧地球，實踐每個家裡都擁有微氣泡的承諾。,zeczec",28 天,2022/04/19 20:00 – 2022/05/24 02:30,2022/04/19 20:00:00,2022/05/24 02:30:00
【 NEWTRAL｜全球首創！腰部自動追蹤人體工學椅，久坐無負擔！】解鎖你的輕奢客製化乘坐需求，健康工作與生活，輕鬆「靠得住」！,Newtral Taiwan,3524321,9880,https://www.zeczec.com//projects/newtral,"世界上第一款「專注腰部支撐」的人體工學椅。不論是辦公、微躺，或是午睡片刻，「自動化追蹤靠腰組件」都可針對你的腰部做「追蹤支撐」。除此之外，NEWTRAL 還增加了各類客製化人因尺寸調節設計與配件...,zeczec",35 天,2022/04/21 12:00 – 2022/05/31 02:00,2022/04/21 12:00:00,2022/05/31 02:00:00
【 SAMSUNG｜Bespoke Jet™ 】三星風暴級無線變頻吸塵器，韓國熱銷超過 30 萬台 ✧ 科技美型 1.44KG 極輕設計，獨立集塵充電座，210W 超強吸力！,samsung,973540,34400,https://www.zeczec.com//projects/samsung-bespoke-jet,"吸地、拖地、集塵，這台通通搞定！一機包辦，灰塵零接觸！全機 2 年保固，主機馬達 10 年保固！,zeczec",22 天,2022/04/19 12:00 – 2022/05/18 02:00,2022/04/19 12:00:00,2022/05/18 02:00:00
【 Cabeau｜ incredi-belt 超能護腰帶 】輕便好收納，全球第一個隨身體移動的護腰帶，你的脊椎守護大師！,Cabeau Taiwan,487480,960,https://www.zeczec.com//projects/cabeau,"提供最穩定隨心的守護！輕巧便攜的 【 Cabeau｜ incredi-belt 超能護腰帶 】無論你在哪，超能護腰帶給你更舒適的生活！,zeczec",37 天,2022/04/20 12:00 – 2022/06/02 02:00,2022/04/20 12:00:00,2022/06/02 02:00:00
我話講完，誰贊成誰反對？《美麗島風雲：社會事》反烏托邦巔峰之作,GODYU,132510,1350,https://www.zeczec.com//projects/social,"你將扮演新任的黑金民代，目標在任期內，要幫派系、金主希望的法案全部過關。 誰在任期內撈到最多錢，誰就是「社會事」的贏家！,zeczec",18 天,2022/04/25 14:00 – 2022/05/13 23:59,2022/04/25 14:00:00,2022/05/13 23:59:00
去去毒菌走！ O₃ Kobin 地表最小臭氧水生成儀 | 革命性的魔法武器,Liv-Light,114208,2380,https://www.zeczec.com//projects/O3Kobin,"Liv-Light 生活更輕鬆、自在 ｜O₃ Kobin 為台灣第一支隨身攜帶的臭氧水生成儀 | 劃時代的新生活提案｜只要加水，隨時隨地的安心體驗。,zeczec",27 天,2022/04/22 12:00 – 2022/05/23 02:00,2022/04/22 12:00:00,2022/05/23 02:00:00
【Lala Kitchen｜正宗韓國製無煙火烤盤】韓國專利技術，無煙烤肉，火鍋、燒烤一盤搞定！,Lala Kitchen,105700,2380,https://www.zeczec.com//projects/lala-kitchen,"韓國專利技術，讓你烤肉時，衣物不再沾味道，也不再霧濛濛！同時「燒烤」、「火鍋」擁有最讚的韓式燒烤體驗！,zeczec",31 天,2022/04/21 12:00 – 2022/05/27 02:00,2022/04/21 12:00:00,2022/05/27 02:00:00
牙縫老卡食物，用傳統牙線又怕牙縫增大嗎？ 有 wesmile 衝浪男孩 水牙線沖牙機 就不用擔心了！,躍杰股份有限公司,102630,2880,https://www.zeczec.com//projects/wesmile-4972b044-d30f-4cff-ba28-c6f908eeecfb,"wesmile 衝浪男孩 水牙線沖牙機，輕鬆清除牙縫污垢，不會造成牙縫增大！,zeczec",23 天,2022/04/19 13:00 – 2022/05/18 23:59,2022/04/19 13:00:00,2022/05/18 23:59:00
【 SHIH LEI 時光自動真空寶｜儲食新概念空間】8L真空負壓保鮮大容量，雙層結構超好裝，一旋鈕典藏最初美好風味！,SHIH LEI世磊實業,18000,3500,https://www.zeczec.com//projects/SHIHLEI,"新鮮IN！瓶罐OUT！真空負壓延長保鮮、簡單易用蓄電免配件、使用空間不受限、智慧提醒、美型時尚，封存霎那、重現最初只要瞬間。,zeczec",55 天,2022/04/20 12:00 – 2022/06/20 02:00,2022/04/20 12:00:00,2022/06/20 02:00:00
【Artemis迷你雲端隨身碟】 自動備份所有資料到雲端空間, Amaryllo Inc. 愛瑪麗歐股份有限公司,14668,199,https://www.zeczec.com//projects/amaryllo-artemis,"Artemis迷你雲端隨身碟是一個專利申請中的創新的產品，在協助解決資料遺失和被竊取問題的同時，搭配愛瑪麗歐雲增加資料的儲存空間，幫助您保護並珍藏所有重要的資料。,zeczec",28 天,2022/04/25 20:00 – 2022/05/23 23:59,2022/04/25 20:00:00,2022/05/23 23:59:00
富士山原裝進口水素水｜微鹼性小分子，水質細膩，甘甜順口的礦泉水，台灣唯一日本富士山原裝進口水,fujisunsui,12080,599,https://www.zeczec.com//projects/FujiSunSui,"日月精華，富士山的水品牌，健康生活本質，從喝水開始。天然礦泉，富含微量元素、二氧化矽，最貼近身體的微鹼性，台灣唯一日本富士山原裝進口水,zeczec",15 天,2022/04/20 12:00 – 2022/05/10 23:59,2022/04/20 12:00:00,2022/05/10 23:59:00
GoDrip – 第一款可拆解的全尺寸精品咖啡濾杯,Alon Chen,2640,880,https://www.zeczec.com//projects/godrip,"極簡x便攜x專業x衛生。精品咖啡愛好者的戶外完美解答，完美的濾杯也可以不佔空間。台灣設計製造全不鏽鋼材質，確保安全衛生。收納厚度僅9mm，隨時隨地享用精品咖啡，無須妥協。,zeczec",55 天,2022/04/20 11:00 – 2022/06/19 23:59,2022/04/20 11:00:00,2022/06/19 23:59:00
皮拉提斯體塑圈 Pilates Ring—美體健身好夥伴,takue,1068,369,https://www.zeczec.com//projects/pilates-ring,"全身塑形，重塑身材曲線，可有效提升訓練度與體態正確度,zeczec",44 天,2022/04/20 12:00 – 2022/06/08 23:59,2022/04/20 12:00:00,2022/06/08 23:59:00
