集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間,集資開始,集資結束
【好眠城實木床組】我長大了，我可以自己睡！一套從抓周禮睡到成年禮的實木床組！,環安傢俱,42798160,54800,https://www.zeczec.com/projects/bunkbed,"一個床組 3 種睡法！是【上下舖】，是【加大單人床】，竟然還是【特大雙人床】超長使用年限，一套真正可以讓孩子從小睡到大的床！,zeczec",17 天,2022/07/19 10:00 – 2022/09/01 03:00,2022-07-19 10:00:00,2022-09-01 03:00:00
Apitor Robot樂學程式積木 基礎綠Q、進階藍S | 孩子們的mini課外學伴！,Apitor x 有設計,6503734,1980,https://www.zeczec.com/projects/apitor-robot-qs,"全球首發！新體感操控方式、新系列30+玩法、相容樂高與歷代積木！結合主流圖像式編程、互動玩法與物理應用，讓孩子在玩樂中學習STEAM！分階段從組裝、動力操控到編程，陪伴孩子一同成長！,zeczec",25 天,2022/07/25 21:00 – 2022/09/08 23:59,2022-07-25 21:00:00,2022-09-08 23:59:00
Lazervida 10W 雷射雕刻機 ► 超高效能，「輕」民登場！​,FLUX Inc.,5535326,12800,https://www.zeczec.com/projects/Lazervida,"顏值、實力、CP 值三者兼具，挑戰更「輕」巧、最「親」民雷射雕刻機。Lazervida 擁有超高品質雷射功率， 並涵蓋專業雷雕效能，熱愛創作的你一定會愛不釋手！,zeczec",41 天,2022/08/10 12:00 – 2022/09/24 23:59,2022-08-10 12:00:00,2022-09-24 23:59:00
《VERSE》第三年訂閱｜ 訂閱一本絕無僅有的文化雜誌，改變你看見台灣的角度， 參與一場定義時代的文化運動,VERSE,2358371,1890,https://www.zeczec.com/projects/verse-3rd-yrs,"VERSE 準備邁入第三年了，誠摯邀請您加入訂閱的行列，並且和我們加入一場正在改變台灣的文化運動。,zeczec",50 天,2022/07/26 20:00 – 2022/10/03 23:59,2022-07-26 20:00:00,2022-10-03 23:59:00
【iMiniDV X4 】內建式安全帽行車記錄器｜3秒快拆｜ Wifi連接｜AI智慧啟動｜真人語音｜GPS測速｜守護你的「型」車安全,聯合總部 Federal Headquarters,2350371,2780,https://www.zeczec.com/projects/iminidv-x4,"100% 極隱蔽＋1080p 全高清＋140° 超廣角＝ 你無懼三寶｜不怕碰瓷的秘密武器｜google精準定位｜超高續航,zeczec",25 天,2022/08/11 12:00 – 2022/09/09 02:00,2022-08-11 12:00:00,2022-09-09 02:00:00
〔 超早鳥優惠倒數一天 〕𝙈𝙞𝙟𝙞𝙡𝙮 𝘼𝙞𝙧 大氣涼拖鞋｜𝟭 鞋 𝟰 穿的機能神拖 - 急反彈、強支撐、超耐走！,Mijily 米吉利循環鞋履,2297791,1580,https://www.zeczec.com/projects/mijily-air,"這是『史上第一雙大氣控壓的涼拖鞋！』兼具四種鞋面穿法、吊掛收納、耐磨止滑、專利高支撐鞋體，同時輕盈舒適且可回收的休閒涼拖鞋。Mijily 不只賣鞋，我們更注重售後的回收機制！,zeczec",47 天,2022/08/03 12:00 – 2022/09/30 23:59,2022-08-03 12:00:00,2022-09-30 23:59:00
Geyser 全天候防水鞋｜最強 4 in 1！雨鞋＋登山鞋＋運動鞋＋外出休閒鞋，一次擁有,Tropicfeel,2023572,3499,https://www.zeczec.com/projects/geyser,"不只具有 360 度全面防水的專利技術，再生羊毛製成的鞋身帶來透氣的全新體驗，且共有 10 款亮眼外型可選擇，讓你天天都想穿著它出門！,zeczec",8 天,2022/07/19 12:00 – 2022/08/23 02:00,2022-07-19 12:00:00,2022-08-23 02:00:00
流浪狂想曲 OMVOS Nomad Cross﹝次世代電動二輪﹞帶你去探險 ! ,OMVOS,1342400,55900,https://www.zeczec.com/projects/omvos-nomadcross,"科技復古風潮 ! 全球首發 ""StreetStyle"" 電輔自行車，獨特不羈風格車型，同級中最強動力與最高續航，休閒通勤騎行等於每天運動，專屬於你的健康零碳移動 !,zeczec",17 天,2022/07/18 21:00 – 2022/08/31 23:59,2022-07-18 21:00:00,2022-08-31 23:59:00
【 光邑不倒梯 】 世界首創-讓安全「看得見」的第一首選！顛覆你對梯子的印象,光邑實業股份有限公司,1304215,5999,https://www.zeczec.com/projects/LY-Unfalling-Ladder,"為鋁梯帶來嶄新革命！多角度與工作環境完整貼合 x 1 秒超快速單腳收折 x 高達45段數使用，榮獲發明獎殊榮的創新產品體驗,zeczec",47 天,2022/08/08 12:00 – 2022/09/30 23:59,2022-08-08 12:00:00,2022-09-30 23:59:00
 最速面紙盒 ▋TOS 紙巾供應系統 Tissue Offering System ▋ 提昇你內心的辛烷值。,HooBue,1206743,2250,https://www.zeczec.com/projects/tos-tissue-offering-system,"首創電子監測面紙殘量，全鋁合金打造，抽吧！提昇心靈馬力，一個動作讓生活細節充滿貼背感。,zeczec",32 天,2022/07/20 21:00 – 2022/09/15 23:59,2022-07-20 21:00:00,2022-09-15 23:59:00
【練愛士－人生自救戰鬥卡】你的戰力訓練師｜融合自律生活、挑戰盲盒與自我檢測的心靈牌卡,小瑜星座,995431,978,https://www.zeczec.com/projects/love-warrior,"透過設定目標、抽牌解憂、挑戰修煉、完成目標等步驟，讓練愛士找回自信與勇氣，拿回戰鬥本能，不需要額外解牌書，一秒上手即可解惑，50張金句卡+1張命定角色卡及1張修煉說明卡等著你來探索,zeczec",37 天,2022/07/20 12:00 – 2022/09/20 23:59,2022-07-20 12:00:00,2022-09-20 23:59:00
apod迷你中華炒鍋｜日本超輕460g窒化鐵鍋，輕鬆翻炒大師鍋氣料理。露營熱壓烤夾套裝,Single Step,993710,2380,https://www.zeczec.com/projects/apod-wok,"日本燕三条460g超輕純鐵炒鍋。窒化防鏽無塗層不怕刮傷，立體纖維加工讓熱炒健康不油膩，鎖住食材鮮脆水份，輕鬆大火炒出鍋氣靈魂料理！同步加開人氣「便攜熱壓烤夾」,zeczec",15 天,2022/07/29 12:00 – 2022/08/29 23:59,2022-07-29 12:00:00,2022-08-29 23:59:00
台灣貓狗「公益透明血庫」計畫：拒絕血液剝削、犬貓人道對待，讓寵物急難用血更安心,台灣犬貓公益血庫推動協會,907829,399,https://www.zeczec.com/projects/friendly-pets-blood,"還給血貓血犬合理人道待遇，寵物急難用血更穩定安心 ,zeczec",47 天,2022/08/03 12:00 – 2022/09/30 23:59,2022-08-03 12:00:00,2022-09-30 23:59:00
Drinker 醉客包｜背包界的陳年酒桶，讓你隨時隨地享受品飲，來場醉客之旅！,Stella Forza 本革九號製所,811858,6120,https://www.zeczec.com/projects/drinker-wine-bag,"酒桶造型餐酒袋精緻有型，三種攜帶方式：手提、側背、後背讓你輕鬆袋酒出門。採用義大利頭層牛皮拼接油蠟帆布，讓城市型男們能隨時隨地品飲微醺，背上醉客包一起成為最時尚的Drinker！,zeczec",44 天,2022/07/28 21:00 – 2022/09/28 02:59,2022-07-28 21:00:00,2022-09-28 02:59:00
