集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束
萬播T6R Max - 投影王者回歸！最強 CP 值，劇院級享受隨手帶著走！,睿濬國際,6210951,9190,https://www.zeczec.com/projects/t6r-max-cp,"曾創下嘖嘖募資 4000 萬最高紀錄的投影機王者回歸！小套房也能投出 200 吋巨幅螢幕！追劇、玩遊戲、露營星空電影院？T6R Max 讓你用最高的 CP 值，為小空間創造沈浸式的大體驗！,zeczec",9 天,2022/08/16 12:00 – 2022/09/20 23:59,2022-08-16 12:00:00,2022-09-20 23:59:00
永恆金庸・無限江湖：【金庸作品集】平裝改版計畫,遠流出版公司,5431992,9490,https://www.zeczec.com/projects/jingyong,"2024年是「金庸百年」，遠流預計推動三年期的【金庸作品集】平裝改版計畫（二版），全套36冊，每年出版12冊。兼具收藏性與創意性的贈品規劃，期盼更多新讀者進入金庸的多重宇宙！,zeczec",36 天,2022/09/07 11:00 – 2022/10/17 23:59,2022-09-07 11:00:00,2022-10-17 23:59:00
ARMADA 黑晶奈瓷刀｜專為台灣人設計，絕對潔淨的俐落廚刀，讓你下刀如有神！,均岱鍋具 kitchenspring ,3037000,2780,https://www.zeczec.com/projects/armada,"台灣 40 年「均岱鍋具 Kitchenspring」在地研發設計，廚房不可或缺的第二把刀，補足家庭用刀的所有缺陷！抗菌不生鏽、鋒利免磨刀、輕薄耐用，100% 營養保留，給你俐落又安心的備料體驗！,zeczec",8 天,2022/08/23 21:00 – 2022/09/19 23:59,2022-08-23 21:00:00,2022-09-19 23:59:00
【葉添YeTech｜匠人級收納雙刀組】是刀盒也是砧板，刀具 / 砧板 / 收納 / 攜帶 4in1，戶外廚房10秒帶出門！,葉添 YeTech Craft,2381570,3980,https://www.zeczec.com/projects/yetech-2022,"台灣百年製刀品牌「葉添」專為戶外露營打造「攜帶型專業廚刀組」。 結合VG10頂級鋼材雙刀、砧板、磁吸收納設計、透氣提袋為一體，一個包陪你上山下海，10秒即可外帶行動廚房，到哪都能大展廚藝！,zeczec",46 天,2022/09/06 21:00 – 2022/10/27 23:59,2022-09-06 21:00:00,2022-10-27 23:59:00
Logitech 特獻果粉😍台灣限定注音鍵盤【 Rugged Combo 3｜iPad 鍵盤保護殼 】&【 Crayon｜iPad 數位筆 】&【 KEYS-TO-GO｜輕巧藍牙鍵盤 】,Logitech Taiwan,2338530,1440,https://www.zeczec.com/projects/logitech-edu,"適用於 Apple 系列！耐用、抗摔，好清潔！,zeczec",19 天,2022/08/23 12:00 – 2022/10/01 02:00,2022-08-23 12:00:00,2022-10-01 02:00:00
折折盒｜2 種型態，∞ 多可能，一秒切換平面/立體的多用途新經典折盒,ZENLET 禪與徠特,1899595,1320,https://www.zeczec.com/projects/FoldiBox,"一款選用食品級耐熱矽膠，搭配日本抗菌銀離子配方，並採磁吸固定以實現迅速攤平、直覺好清洗的多用途新經典折盒。,zeczec",22 天,2022/08/30 12:00 – 2022/10/04 02:00,2022-08-30 12:00:00,2022-10-04 02:00:00
『 日本 amadana ｜16L 極靜高效除濕機 』 - 日本美學 一級能效 16L 除濕機,amadana,1669821,8580,https://www.zeczec.com/projects/amadana-16l,"日式極簡『 16L 除濕機』，大除濕量，40%-80% 濕度符合環境需求！45dB靜音除濕，安心舒適！一級能效，還能自行申請1200元補助喔！,zeczec",13 天,2022/08/23 12:00 – 2022/09/25 02:00,2022-08-23 12:00:00,2022-09-25 02:00:00
日日有影 2023｜生活是電影的本質，電影是生活的淬鍊 ―― 電影日曆陪伴你的 2023 年,釀電影,1444706,980,https://www.zeczec.com/projects/amovieaday,"12 位台灣插畫家，與近百位電影人、影評、作家聯手，讓你的 365 天都有電影相伴。,zeczec",50 天,2022/08/31 21:00 – 2022/10/31 23:59,2022-08-31 21:00:00,2022-10-31 23:59:00
【 FLUSSO 瞬適眼鏡｜找回視覺舒適感 】世界首支減壓眼鏡 Made In Taiwan ,flusso,1399390,2580,https://www.zeczec.com/projects/flusso,"不只是抗藍光！由跨領域專家合作找出真正的傷眼原因，世界首創為減壓而生的MIT頂尖專利光學技術，集結各種大品牌鏡片優勢於一身，現在就開始善待您的雙眼！,zeczec",36 天,2022/08/23 10:30 – 2022/10/18 17:59,2022-08-23 10:30:00,2022-10-18 17:59:00
MOFT 石墨烯散熱支架，世界第一款「自主散熱」的筆電支架，解放肩頸、極輕薄、秒收納！,MOFT,1257063,1729,https://www.zeczec.com/projects/moft-Cooling-Stand,"不只照顧你的工作姿勢，還拯救筆電健康！這個夏天跟我們一起告別過燙問題，延續經典功能：1 秒收起、2 種角度、3 大升級 - 防水+防刮+重複撕黏一百次！,zeczec",15 天,2022/08/23 12:00 – 2022/09/27 02:00,2022-08-23 12:00:00,2022-09-27 02:00:00
