商品名稱,品牌名稱,累積金額,商品單價,商品網址,商品規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束
【追覓 Dreame L10s Ultra｜全能掃拖旗艦機】7 合 1 全自動基座、5300Pa 業界最強吸力、雙旋式按壓濕拖、智慧拖布抬升，「真」旗艦全能掃拖機器人！,theAxiom 安德家品,86182501.0,25480.0,https://www.zeczec.com/projects/dreame-l10s-ultra-7-1,"追覓科技全新力作！完美集結 ▶︎ 自動集塵、補水、洗烘拖布、銀離子除菌，60 天倒一次垃圾...等多項功能，給你頂級規格，CP 值爆表的價格，真正實現解放雙手！,zeczec", 25 小時,2022/11/01 12:00 – 2022/11/29 13:00,2022-11-01 12:00:00,2022-11-29 13:00:00
【 xTool D1 Pro 20W 雷雕機 】王者歸來！歡迎來到頂規 20W 二極體雷射新世界⚡,Makeblock,8512820.0,43980.0,https://www.zeczec.com/projects/xtool-d1-pro-20w,"✨ 加倍快｜加倍強｜加倍準。硬實力，就是我的超能力！ 熱愛創作的你是否就差一台功率更強、創意不受限的雷雕機呢？,zeczec",10 天,2022/11/03 12:00 – 2022/12/08 02:00,2022-11-03 12:00:00,2022-12-08 02:00:00
 Aries 快拆式大錐刀磨豆機 ｜83mm 3 秒快拆式鍍鈦錐刀，5 段式可調式研磨轉速，在家就能享受頂級精品咖啡風味,米克斯酷,7030300.0,28900.0,https://www.zeczec.com/projects/aries,"在家喝咖啡也能很享受。專為咖啡痴匠心打造的 Aries 磨豆機，獨家 3 秒刀盤快拆設計，結合 83mm 鍍鈦錐刀，為每一次磨豆留下最純粹風味，只留口齒餘香給您。,zeczec",31 天,2022/11/15 21:00 – 2022/12/29 23:59,2022-11-15 21:00:00,2022-12-29 23:59:00
Oladance 開放式無限耳機｜舒適通透＋劇院級立體環繞，配備 16.5 mm 超大單體的無重力音響！,Oladance.taiwan,6889641.0,3890.0,https://www.zeczec.com/projects/oladance,"【十年經驗 · 精心研發】打造最適合耳朵的工學耳機，零擠壓、零堵塞，自在享受細膩而有層次的震撼音質。16 小時長時續航，從早到晚貼身陪伴一整天。,zeczec",25 天,2022/11/22 12:00 – 2022/12/23 02:00,2022-11-22 12:00:00,2022-12-23 02:00:00
De'Longhi 全自動義式咖啡機 Dinamica 350 系列 ｜ 2022 最新美型機種，超質感觸控面板與創新純萃冷冽冰咖啡技術，給愛喝咖啡的你！,DeLonghi Taiwan,4324800.0,30900.0,https://www.zeczec.com/projects/delonghi-ecam350,"全世界 No.1 全自動義式咖啡機品牌 De’Longhi 特別計畫！推出純萃冷冽冰咖啡 TRUEBREW OVER ICE™ 技術，給最喜歡的冰咖啡的你。使用低溫萃取讓濃烈的咖啡在冰塊上能同時...,zeczec",15 天,2022/11/01 11:00 – 2022/12/13 02:00,2022-11-01 11:00:00,2022-12-13 02:00:00
【日本 ATEX｜V 型溫感指壓按摩椅墊】日本專利設計、工藝級按摩科技，小而有力。肩 / 頸 / 臀，真人感全方位按摩，一台搞定！,日本ATEX,3824388.0,3880.0,https://www.zeczec.com/projects/atex-v,"風靡全日本美臀推拿機，8 顆按摩球打造 3D 深層按摩，一台包辦按摩肩頸、腰部和臀部，布套可拆卸機洗。,zeczec",32 天,2022/11/17 12:00 – 2022/12/30 02:00,2022-11-17 12:00:00,2022-12-30 02:00:00
XpreSole® Blocks 全防水積木咖啡靴｜踏出童心，擺脫潮濕！無論晴雨，每一步都輕盈乾爽,Lab22 Taiwan,2390260.0,4480.0,https://www.zeczec.com/projects/xpresole-blocks,"Blocks 積木咖啡靴｜由咖啡渣製成、防水、透氣、舒適、超輕、乾爽等 12 項超強機能，加上獨家積木鞋底，帶你找回童心，穿出風格！,zeczec",39 天,2022/10/31 12:00 – 2023/01/06 23:59,2022-10-31 12:00:00,2023-01-06 23:59:00
通過美國最高軍武級防護規格 | Wetop C300Pro 環境淨化器，主動清淨，即時淨化空氣及物體表面，專為呼吸安全打造,WETOP 數緯環境科技,2330620.0,19800.0,https://www.zeczec.com/projects/wetop-c300pro,"今年我們再度推出一台以 「即時呼吸安全防護」 的環境淨化器，不僅能夠淨化空氣、還可以淨化物體表面，提供最高規格的美國軍武級安全防護，同時又兼顧安全、安靜需求，以24小時不間斷使用標準，打造可固定...,zeczec",48 天,2022/11/15 21:00 – 2023/01/15 02:00,2022-11-15 21:00:00,2023-01-15 02:00:00
2022 最新款【 LG A9TS｜蒸氣濕拖無線吸塵器 】｜自動除塵旗艦再進化，獨家蒸氣雙旋濕拖＋全新LED輕薄寬扁吸頭，全方位瓦解難纏髒污，清潔不髒雙手。,LG ,2269850.0,34900.0,https://www.zeczec.com/projects/lg-a9ts,"LG 2022 最新機種 —— LG A9TS蒸氣濕拖無線吸塵器，搭載業界領先自動除塵功能，更加入獨家「蒸氣雙旋濕拖功能」，全方位無死角地解決地板頑強污垢。,zeczec",8 天,2022/11/03 21:00 – 2022/12/06 23:59,2022-11-03 21:00:00,2022-12-06 23:59:00
Fuumas Puzzle 阿里山百年 SL-21 夏依式火車收藏紀念款模型 | 祝賀阿里山林業鐵路 & 夏依式火車 110 周年、3D 立體可動木質模型拼圖！,富馬樂創,1618234.0,1970.0,https://www.zeczec.com/projects/FuumasPuzzle-SL-21,"透過現代工藝、設計巧思，讓消費者以合理的價格，擁有「立體、可手動、著重細節」的DIY木質蒸汽機車拼圖！,zeczec",31 天,2022/11/16 10:30 – 2022/12/29 23:59,2022-11-16 10:30:00,2022-12-29 23:59:00
【Shining3D EinStar｜手持式 3D 全彩超高速掃描器 】顛覆掃描市場、大範圍、超易用、超高CP值，掃描逆向建模王者再臨！,KidenDesign,1504200.0,29800.0,https://www.zeczec.com/projects/shining3d-einstar,"【Shining3D EinStar｜手持式 3D 全彩超高速掃描器 】顛覆掃描市場、大範圍、超易用、超高CP值，掃描逆向建模王者再臨！,zeczec",22 天,2022/11/17 12:00 – 2022/12/20 23:59,2022-11-17 12:00:00,2022-12-20 23:59:00
請來買「腳頭老大」們做的「快樂襪」｜瑪利亞身心障礙青年終於開襪子店了，努力籌措第一批訂單！,財團法人瑪利亞社會福利基金會,1455830.0,1698.0,https://www.zeczec.com/projects/merry-young-x,"誰說身心障礙青年只能等人救助？刷新以往對於心智障礙者的偏見，一起穿上他們創作的舊城心故事 Merry Youngの 老派約會快樂襪，「走到哪裡」都能感受到台中爆笑又天真的人情味,zeczec",31 天,2022/11/01 11:00 – 2022/12/29 23:59,2022-11-01 11:00:00,2022-12-29 23:59:00
〖 蠟筆小新熱壓吐司機 〗零失敗! 三分鐘療癒上桌♡ 高顏值小新×小白雙烤紋★陪你吃可愛長大,Norns,1410493.0,1690.0,https://www.zeczec.com/projects/norns,"日本官方授權 ‧ 全台首發 ♡《蠟筆小新：風起雲湧 光榮烤吐司之路》登場◆預購就送日式兩用收納袋◆省時省力一鍋到底★ 咖啡廳等級的吐司／鬆餅在家輕鬆做。一機在手，療癒無限、美味無窮,zeczec",23 天,2022/11/01 11:00 – 2022/12/20 23:59,2022-11-01 11:00:00,2022-12-20 23:59:00
【玩色時尚．MIZAI 無線真空保鮮機】突破專用袋限制，全方位守護您的居家食品保鮮！,MIZAI,1399905.0,1780.0,https://www.zeczec.com/projects/mizai-food-preservation,"超值首選！智慧偵測、無線輕巧、時尚美型，兼具大吸力與續航力，由台灣智能家居品牌MIZAI設計打造，不只一機多用，同時是業界適用包裝材質最多的保鮮機！,zeczec",47 天,2022/11/23 10:30 – 2023/01/13 23:59,2022-11-23 10:30:00,2023-01-13 23:59:00
月動褲｜吸血長褲＆吸血短褲，超大吸血面積 x 一件抵三件 x 專利反摺邊防漏工法，超越所有衛生棉，讓月亮褲®解放你的經期 Body！,谷慕慕 GoMoond,1280686.0,2353.0,https://www.zeczec.com/projects/GoMoond,"台灣第一件吸血內褲品牌 - 月亮褲®推出的最新力作，「內外褲一體式設計」的吸血長褲＆吸血短褲，讓每個有月經的人，在經期也能更安心自在活動！,zeczec",22 天,2022/11/08 20:00 – 2022/12/20 02:00,2022-11-08 20:00:00,2022-12-20 02:00:00
【WATCH THE MUSIC】潮流智能音樂眼鏡 / 墨鏡 - 讓科技融入生活、從此釋放雙耳！,KlassiC. x AES x SOLOS,1079600.0,8500.0,https://www.zeczec.com/projects/klassic,"結合亞洲臉型鏡框、潮流時尚風格與最新智能科技，歷時兩年研發打造集聽歌通話與健康監測於一身，能自在配戴的整合性智慧音樂眼鏡 / 墨鏡！,zeczec",33 天,2022/11/15 21:00 – 2022/12/30 23:59,2022-11-15 21:00:00,2022-12-30 23:59:00
《梗圖黃牌》最異想天開的圖文配對！迷因梗王就是你！,多重宙文創娛樂,1031410.0,1680.0,https://www.zeczec.com/projects/TW-MEME-Yellow-Cards,"最歡樂的派對桌遊《黃牌》推出全新商品，匯集台灣最熱門的各種迷因。如果配出太冷的梗可是會被發黃牌的喔！,zeczec",41 天,2022/11/07 20:00 – 2023/01/08 23:59,2022-11-07 20:00:00,2023-01-08 23:59:00
