projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end
學而無礙｜募集極偏鄉孩童學習用品,the ONE table 一張桌子,0.0,250.0,https://www.zeczec.com/projects/no-boundaries,"一起幫助孩子擁有較足額的資源，安心享受學習的樂趣，不用再擔心鉛筆盒裡沒有筆和橡皮擦。,zeczec",21 天,2022/10/09 20:00 – 2022/10/31 23:59,2022/10/09 20:00:00,2022/10/31 23:59:00
SPACEFOLD™ 時空折疊育兒包 | 三秒分層，一秒折疊，育兒/商務/生活一切包辦！,Dauson lab.,468190.0,3290.0,https://www.zeczec.com/projects/spacefold,"無需翻找，輕鬆取得全包物件，空間彈性極大化。機能防水，透氣減壓，為孩子、父母設計的萬用快取背包,zeczec",43 天,2022/10/07 12:00 – 2022/11/22 23:59,2022/10/07 12:00:00,2022/11/22 23:59:00
【infinite-air 系列 風力發電機 】 在嚴酷環境下也能徹夜高功率發電,横浜GLOBAL TRADING,117018.0,13266.0,https://www.zeczec.com/projects/infinite-air-12,"在嚴酷環境下也能徹夜高功率發電！專業的【infinite-air 系列 風力發電】讓您替「意外之時」做準備,zeczec",41 天,2022/10/06 12:00 – 2022/11/20 23:59,2022/10/06 12:00:00,2022/11/20 23:59:00
KIMU DUO 融蠟燈｜給關不掉的嗅覺，美好且安心的儀式感日常。,KIMU,358190.0,2990.0,https://www.zeczec.com/projects/kimu-duo,"讓台灣燈具品牌 KIMU 打造比你更挑剔的香氛體驗。讓世界首創雙燈頭，立體你的五感，放大你的第六感。,zeczec",39 天,2022/10/06 11:00 – 2022/11/18 23:59,2022/10/06 11:00:00,2022/11/18 23:59:00
零負擔口罩第二彈「Co-que Air 口罩」全新煙燻系列顏色 魅力登場,Co-que,18938.0,1598.0,https://www.zeczec.com/projects/co-que-air," 厭倦口罩的枯燥顏色了嗎?挑選屬於自己的浪漫色調吧，如果您正在尋找最舒適的口罩， Co-que Air 更輕薄・更快乾・更有機能性，超立體3D口罩好呼吸，真心推薦給您!!!,zeczec",40 天,2022/10/05 12:00 – 2022/11/19 23:59,2022/10/05 12:00:00,2022/11/19 23:59:00
【Apolnus｜Myth A1】無耗材空氣清淨機｜頂尖美學霸主 | 捕捉 0.01 細小顆粒 | 新冠病毒99.99%有效抑制 | UVC LED 紫外線淨化！,Apolnus 無耗材UVC空氣清淨機,4450781.0,9770.0,https://www.zeczec.com/projects/apolnus,"「將美賦予產品，成就每個人的生活美學。」相信美感能改變世界。Apolnus 擅用設計和工藝，讓產品承載美學，成為你生活中不可或缺的藝術品。讓產品和人的聯繫，可以更深，同樣可以更美。,zeczec",26 天,2022/10/05 11:00 – 2022/11/05 23:59,2022/10/05 11:00:00,2022/11/05 23:59:00
【2023跳跳兔動態音樂盒桌曆】+限量加贈發想版搖擺兔車用桌曆｜開創月曆新體驗 ♫.(◕∠◕).♫,GreenJason 綠色傑森/亞其實業,21340.0,860.0,https://www.zeczec.com/projects/greenjason202201,"無聊或壓力太大時，只要輕輕轉動音樂盒，滴上精油，音樂與香氛，配上木頭的溫度感也會增加一份生活的療育力量，音樂、香氛、美學生活的儀式感一次擁有。,zeczec",36 天,2022/10/04 21:00 – 2022/11/15 23:59,2022/10/04 21:00:00,2022/11/15 23:59:00
B&E【三面二用】大時尚托特包- 大大巧思，顛覆常規！,WA KAH-i 玩佮意,0.0,4800.0,https://www.zeczec.com/projects/BAGANDEARTH,"B&E (BAG & EARTH) 與地球聯名，推出市場絶無僅有的創新式樣包款。,zeczec",42 天,2022/10/04 12:00 – 2022/11/21 23:59,2022/10/04 12:00:00,2022/11/21 23:59:00
Dcard 愛情曆 - 365天愛情攻略,Dcard,44549.0,780.0,https://www.zeczec.com/projects/dcard,"如果許多電影都翻拍 Dcard 感情故事，如果愛情板蟬聯 5 年度熱門板，如果愛與被愛是人生課題，那 Dcard 為何不出一本愛情攻略，讓更多人少走些冤枉路呢？,zeczec",21 天,2022/10/03 21:00 – 2022/11/01 02:00,2022/10/03 21:00:00,2022/11/01 02:00:00
SAVING POWER x YOOBAO EN300 輕量級隨身小電站｜電到用時「不」方恨少！,SAVING POWER,70860.0,8980.0,https://www.zeczec.com/projects/yoobao-en300,"歐美日儲能電源暢銷品牌 YOOBAO ，全台首發【EN300輕量級隨身小電站】最多同時輸出6台設備； 300W功率 AC 插座及 DC 快充接孔，從緊急應用到休閒生活，隨時在你身邊。,zeczec",53 天,2022/10/03 20:00 – 2022/12/03 02:00,2022/10/03 20:00:00,2022/12/03 02:00:00
