屏東萬巒｜硫黃百香果春天出品,保證責任屏東縣廣益青果生產合作社,0,666,https://www.zeczec.com/projects/passionfruitgunagyi2,"種植百香果跟科學有甚麼關係呢?百香果的殼居然可以吃?我們蒐集各種百香果創意料理，私廚食譜送給你！,zeczec",27 天,2022/04/23 08:00 – 2022/05/21 23:59,2022/04/23 08:00:00,2022/05/21 23:59:00
去去毒菌走！ O₃ Kobin 地表最小臭氧水生成儀 | 革命性的魔法武器,Liv-Light,62640,1980,https://www.zeczec.com/projects/O3Kobin,"Liv-Light 生活更輕鬆、自在 ｜O₃ Kobin 為台灣第一支隨身攜帶的臭氧水生成儀  |  劃時代的新生活提案｜只要加水，隨時隨地的安心體驗。,zeczec",28 天,2022/04/22 12:00 – 2022/05/23 02:00,2022/04/22 12:00:00,2022/05/23 02:00:00
【 NEWTRAL｜全球首創！腰部自動追蹤人體工學椅，久坐無負擔！】解鎖你的輕奢客製化乘坐需求，健康工作與生活，輕鬆「靠得住」！,Newtral Taiwan,3081420,9880,https://www.zeczec.com/projects/newtral,"世界上第一款「專注腰部支撐」的人體工學椅。不論是辦公、微躺，或是午睡片刻，「自動化追蹤靠腰組件」都可針對你的腰部做「追蹤支撐」。除此之外，NEWTRAL 還增加了各類客製化人因尺寸調節設計與配件...,zeczec",36 天,2022/04/21 12:00 – 2022/05/31 02:00,2022/04/21 12:00:00,2022/05/31 02:00:00
【Lala Kitchen｜正宗韓國製無煙火烤盤】韓國專利技術，無煙烤肉，火鍋、燒烤一盤搞定！,Lala Kitchen,73220,2380,https://www.zeczec.com/projects/lala-kitchen,"韓國專利技術，讓你烤肉時，衣物不再沾味道，也不再霧濛濛！同時「燒烤」、「火鍋」擁有最讚的韓式燒烤體驗！,zeczec",32 天,2022/04/21 12:00 – 2022/05/27 02:00,2022/04/21 12:00:00,2022/05/27 02:00:00
【 Cabeau｜ incredi-belt 超能護腰帶 】輕便好收納，全球第一個隨身體移動的護腰帶，你的脊椎守護大師！,Cabeau Taiwan,454900,960,https://www.zeczec.com/projects/cabeau,"提供最穩定隨心的守護！輕巧便攜的   【 Cabeau｜ incredi-belt 超能護腰帶 】無論你在哪，超能護腰帶給你更舒適的生活！,zeczec",38 天,2022/04/20 12:00 – 2022/06/02 02:00,2022/04/20 12:00:00,2022/06/02 02:00:00
【 SHIH LEI 時光自動真空寶｜儲食新概念空間】8L真空負壓保鮮大容量，雙層結構超好裝，一旋鈕典藏最初美好風味！,SHIH LEI世磊實業,18000,3500,https://www.zeczec.com/projects/SHIHLEI,"新鮮IN！瓶罐OUT！真空負壓延長保鮮、簡單易用蓄電免配件、使用空間不受限、智慧提醒、美型時尚，封存霎那、重現最初只要瞬間。,zeczec",56 天,2022/04/20 12:00 – 2022/06/20 02:00,2022/04/20 12:00:00,2022/06/20 02:00:00
皮拉提斯體塑圈 Pilates Ring—美體健身好夥伴,takue,1068,369,https://www.zeczec.com/projects/pilates-ring,"全身塑形，重塑身材曲線，可有效提升訓練度與體態正確度,zeczec",45 天,2022/04/20 12:00 – 2022/06/08 23:59,2022/04/20 12:00:00,2022/06/08 23:59:00
富士山原裝進口水素水｜微鹼性小分子，水質細膩，甘甜順口的礦泉水，台灣唯一日本富士山原裝進口水,fujisunsui,8386,599,https://www.zeczec.com/projects/FujiSunSui,"日月精華，富士山的水品牌，健康生活本質，從喝水開始。天然礦泉，富含微量元素、二氧化矽，最貼近身體的微鹼性，台灣唯一日本富士山原裝進口水,zeczec",16 天,2022/04/20 12:00 – 2022/05/10 23:59,2022/04/20 12:00:00,2022/05/10 23:59:00
GoDrip – 第一款可拆解的全尺寸精品咖啡濾杯,Alon Chen,2640,880,https://www.zeczec.com/projects/godrip,"極簡x便攜x專業x衛生。精品咖啡愛好者的戶外完美解答，完美的濾杯也可以不佔空間。台灣設計製造全不鏽鋼材質，確保安全衛生。收納厚度僅9mm，隨時隨地享用精品咖啡，無須妥協。,zeczec",56 天,2022/04/20 11:00 – 2022/06/19 23:59,2022/04/20 11:00:00,2022/06/19 23:59:00
MiniBle X 微氣泡起波器｜清潔、除菌、去農殘，一顆搞定｜家用微氣泡革命，居家用水品質大升級！,HerherS和荷時際,3650042,1750,https://www.zeczec.com/projects/minible-x,"從台灣開始，我們想要繼續照顧地球，實踐每個家裡都擁有微氣泡的承諾。,zeczec",29 天,2022/04/19 20:00 – 2022/05/24 02:30,2022/04/19 20:00:00,2022/05/24 02:30:00
牙縫老卡食物，用傳統牙線又怕牙縫增大嗎？ 有 wesmile 衝浪男孩 水牙線沖牙機 就不用擔心了！,躍杰股份有限公司,102630,2880,https://www.zeczec.com/projects/wesmile-4972b044-d30f-4cff-ba28-c6f908eeecfb,"wesmile 衝浪男孩 水牙線沖牙機，輕鬆清除牙縫污垢，不會造成牙縫增大！,zeczec",24 天,2022/04/19 13:00 – 2022/05/18 23:59,2022/04/19 13:00:00,2022/05/18 23:59:00
【 SAMSUNG｜Bespoke Jet™ 】三星風暴級無線變頻吸塵器，韓國熱銷超過 30 萬台 ✧ 科技美型 1.44KG 極輕設計，獨立集塵充電座，210W 超強吸力！,samsung,909320,34400,https://www.zeczec.com/projects/samsung-bespoke-jet,"吸地、拖地、集塵，這台通通搞定！一機包辦，灰塵零接觸！全機 2 年保固，主機馬達 10 年保固！,zeczec",23 天,2022/04/19 12:00 – 2022/05/18 02:00,2022/04/19 12:00:00,2022/05/18 02:00:00
【 Tairona R-01｜真．輕巧，掌上劇院 】小巧便攜，畫質清晰。小體積，大「視」界！滿足你從 居家生活 到 戶外旅遊！,inaday's,7040467,8888,https://www.zeczec.com/projects/tairona-r-01-l-4k,"inaday's 首次推出 [ 掌上劇院 ]，堅持品質及功能性一致，絕對顛覆你對微型投影機的既定印象!!!,zeczec",32 天,2022/04/19 11:00 – 2022/05/26 23:59,2022/04/19 11:00:00,2022/05/26 23:59:00
雲林北港『鮮烘黑金剛花生』，可愛阿公75年的在地情懷，香脆濃郁無添加。【尋農高手】,尋農高手,20620,300,https://www.zeczec.com/projects/pzhang-ri-rong,"位在雲林北港今年已86歲的花生阿公，自年輕起就開始種植花生，對於花生的栽培經驗非常豐富，多年來堅守著對花生與土地的情誼，種出最優質可口的黑金剛花生！,zeczec",21 天,2022/04/18 12:00 – 2022/05/15 23:59,2022/04/18 12:00:00,2022/05/15 23:59:00
云威優品省電罩｜節省冷氣電費+環境抑菌新概念｜方便簡潔，不需要外加電源的物理環保產品, 云威優品,55902,1490,https://www.zeczec.com/projects/win-way-excellent,"輕鬆安裝云威優品省電罩在冷氣機出風口，冷氣通過特殊網狀結構材料，達到節省冷氣電費並可在冷氣空間內抑菌的新產品。,zeczec",52 天,2022/04/18 11:00 – 2022/06/15 23:59,2022/04/18 11:00:00,2022/06/15 23:59:00
