projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end
《日有所撕》每週精選配色的撕式週曆，可撕下值得紀念的日期作為年度回顧，也是2023年最佳生日及週年禮 ,CHLOE DESIGN,1640.0,840.0,https://www.zeczec.com/projects/savetheday2023,"以色彩為主題的萬用週曆，只要有創意，還可當作紀念冊、微日記、單字卡或書籤等用途，也是生日及週年紀念的創意贈禮。,zeczec",28 天,2022/10/02 15:00 – 2022/10/30 23:59,2022/10/02 15:00:00,2022/10/30 23:59:00
馬曆2023／做一隻不會在龜兔賽跑中輸掉比賽的兔子,新加坡商艾雅思股份有限公司台灣分公司,1853106.0,920.0,https://www.zeczec.com/projects/MarknMary2023,"原子習慣說，只要每天進步1%，一年累積下來，你就會成長3700%！ 問題是，我們要從哪裡開始下手，要如何有意識地做出改變呢？ 就讓馬曆成為你每日的提醒吧！,zeczec",60 天,2022/10/01 10:01 – 2022/12/01 23:59,2022/10/01 10:01:00,2022/12/01 23:59:00
J'DOR 全天然兒童黏土 | 用食材打造玩具 | 不沾黏、加水即可恢復柔軟、植物精油製作 幼兒安全無毒玩具首選,倍格思有限公司,404635.0,550.0,https://www.zeczec.com/projects/jdor,"J'DOR 天然配方 - 安全無毒兒童黏土 促進小肌肉發展訓練 ｜ 不殘留好清理、不沾黏、加水即可恢復柔軟、植物精油製作 ,zeczec",55 天,2022/09/30 21:00 – 2022/11/26 23:59,2022/09/30 21:00:00,2022/11/26 23:59:00
【I-CHUN CHOU】 三款在任何時段都為你加分的香水，展現你的個性 | AMPM一日時光旅行香水套組,鼻子星球,35280.0,1680.0,https://www.zeczec.com/projects/ampm-24-i-chun-chou,"由專業調香師所設計，AMPM一日旅行時光的氣味，是詮釋氣味最理想的方式。逆向調香只採用好聞的氣味分子，香水新手不用擔心帶給周遭「香害」，三款在任何時段都為你加分的香水，展現更多自信。,zeczec",42 天,2022/09/30 19:00 – 2022/11/13 23:50,2022/09/30 19:00:00,2022/11/13 23:50:00
王羲之書法要訣月曆,無極,3000.0,500.0,https://www.zeczec.com/projects/z-calligraphy,"看圖說能量，讓您秒懂書法大師的筆法秘訣！讓你的字提升一個級別！！,zeczec",49 天,2022/09/30 12:00 – 2022/11/20 23:59,2022/09/30 12:00:00,2022/11/20 23:59:00
貓咪好盆友-外掛式自動貓砂盆,大數聚物聯-最強掃地工,23086.0,4599.0,https://www.zeczec.com/projects/CatFriendForever,"一款結合省電、體積小、鏟屎、快速打包的外掛式自動貓砂盆,zeczec",29 天,2022/09/30 11:00 – 2022/10/31 23:59,2022/09/30 11:00:00,2022/10/31 23:59:00
新 • 康普茶發酵液 [療癒DIY手作機能飲] 100%無多餘添加；低糖低熱量，口味百變，健康滿分！,林立生醫 LINLI,16480.0,920.0,https://www.zeczec.com/projects/linlibio-kombucha,"源自東方發酵茶飲《 康普茶 》興起西方養生風潮，「林立 綠茶康普茶發酵液」給您無負擔的輕盈，想喝就喝吧！,zeczec",58 天,2022/09/29 20:00 – 2022/11/30 02:59,2022/09/29 20:00:00,2022/11/30 02:59:00
大衛疊疊樂｜下班後，連米開朗基羅也紓壓的好玩意~,數字雕像,1740.0,990.0,https://www.zeczec.com/projects/codestatue-david,"大衛疊疊樂是款像樂高一樣紓壓的桌遊。不分男女老幼只要照著數字疊，可以自己獨樂或親子一起玩樂，讓你像米開基羅一樣打造出藝術史上最美的男子~,zeczec",29 天,2022/09/29 20:00 – 2022/10/31 23:59,2022/09/29 20:00:00,2022/10/31 23:59:00
圓缺之間-身心障礙者影展-看見,廣青文教基金會,150.0,150.0,https://www.zeczec.com/projects/tosee,"自 2001 年起廣青基金會舉辦「圓缺之間」身心障礙者影展，每年平均吸引3,000至4,000人參與，希望透過影像傳播，讓社會大眾看見身心障礙族群多元的樣貌，進而拉近障礙者與非障礙者的距離。,zeczec",54 天,2022/09/29 12:00 – 2022/11/26 20:30,2022/09/29 12:00:00,2022/11/26 20:30:00
2023《身體曆行》插畫週曆 ✷ 照顧自己、放鬆身心的52個療癒提案,Thisis Yali（鏡物觀察室）,111350.0,730.0,https://www.zeczec.com/projects/BodyFirst2023,"是週曆也是手帳！穴道保健＋生活儀式感＋健康好習慣＝陪你照顧身體、認真度日也懂得休息♡,zeczec",29 天,2022/09/28 21:00 – 2022/10/31 23:59,2022/09/28 21:00:00,2022/10/31 23:59:00
