【 Decode 異次元後背包 】 自由解構空間、彈性分層收納​的創新超強機能包！,NIID,2383008,2660,https://www.zeczec.com/projects/decode,"NIID 年度新作「Decode 異次元後背包」，一款整合「幾何美學＋解構分層＋獨立存取＋系統收納＋超強機能 」任你玩轉 CP 值爆表的後背包！,zeczec",9 天,2022/03/23 21:00 – 2022/04/19 23:59
印花樂Ｘ周慕姿心理師《口袋裡的心理師》自我對話牌卡組,inBlooom印花樂,4236027,1080,https://www.zeczec.com/projects/inblooom_therapycards,"《口袋裡的心理師》將人們第一次走進諮商室，心理師陪伴、引導的話語，轉化成一張一張的牌卡步驟；指引使用者自我對話，練習透過自我對話，培養自我覺察的能力，成為自己專屬的療癒師。,zeczec",10 天,2022/03/02 20:00 – 2022/04/20 23:59
Smio.V 美妍小 V ✦ 4 in 1 溫冷緊緻按摩儀，在家就能享受的頂級 SPA 舒壓保養！,lisscode,6180772,2180,https://www.zeczec.com/projects/lisscode-smio-v,"台灣設計製造，一機結合導入、冰敷、按摩、刮痧，從臉到腳全方位完美貼合，舒壓與保養一次滿足。維持你最美狀態的秘密武器！,zeczec", 14 小時,2022/03/08 12:00 – 2022/04/11 23:59
【日本官方授權│鬼滅之刃背包】禰豆子&炭治郎強勢登場，金牌專利🔥 4合1再升級，10秒轉換後背、手提、收納！,deya,137658,1480,https://www.zeczec.com/projects/deya-Kimetsu,"日本超人氣IP官方授權，deya設計開發製造，鬼滅迷必收藏！打造【鬼滅之刃背包】，讓炭治郎與禰豆子陪你一起踏上冒險旅程~,zeczec",5 天,2022/02/15 10:30 – 2022/04/15 23:59
Herb City Pro 香草城市 進階版｜懶人首選一鍵澆水 極簡木紋 時尚球型盆栽,ARKY Design,273593,1880,https://www.zeczec.com/projects/herb-city-pro,"不再因為忙碌而忘記澆花，一根手指輕觸面板，為你的植物輕鬆澆水，植栽生活從容優雅。,zeczec",12 天,2022/02/17 12:00 – 2022/04/23 02:00
【Arpha 3D 人臉辨識智慧電子鎖 🔓 】🔥優惠即將結束🔥 8in1開鎖，貓眼監控、台灣伺服器、遠端APP，時尚科技生活，就從家門開始！,arpha x 有設計,7676369,24900,https://www.zeczec.com/projects/arpha-3d,"🔥限時送好禮，1秒刷臉開門！搭配台灣伺服器個資保障，8種解鎖方式，回家不必站在家門前掏鑰匙找磁卡按密碼！美國arpha品牌帶給你兼具科技與品味的生活。,zeczec",12 天,2022/03/08 10:00 – 2022/04/22 23:59
Petite 波提指甲剪 | 日本職人百年工藝純手工鍛造，讓剪指甲變成日常感動 | SUWADA 諏訪田製作所,Single Step,6587541,1699,https://www.zeczec.com/projects/suwada-petite,"SUWADA日本職人指甲剪全新作品，讓每個人都能安心享受專業「鉗形指甲剪」完美剪切體驗。指甲切口平滑不必再使用銼刀。可被重複打磨恢復鋒利使用終身。精緻小巧便於攜帶的實用職人逸品。,zeczec",8 天,2022/02/16 12:00 – 2022/04/18 23:59
【DIVCHATA POWER｜Help Ukraine NOW 烏克蘭女力在台灣】,DIVCHATA POWER,283851,224,https://www.zeczec.com/projects/divchatapower,"7名在台灣的烏克蘭女孩，透過此專案將台灣的支持「直接」傳達給不曾被國際媒體報導的烏克蘭女性英雄！,zeczec",27 天,2022/04/08 18:00 – 2022/05/07 23:59
春天先生首款派對遊戲《摸魚》、讓你摸魚摸到快樂似神仙！,春天先生,524674,1450,https://www.zeczec.com/projects/mr-spring-lazy-fish,"魚腦粉期待許久、好玩又可愛的《摸魚》遊戲總算來了！考驗手速又考驗運氣，還有各種限定漁獲，邀請各位舊魚新知一起支持～,zeczec",40 天,2022/04/07 21:00 – 2022/05/21 02:00
MUFU V30P 好神機｜前後雙錄機車行車記錄器｜內建違規偵測語音播報提醒功能幫你『省荷包』,MUFU,1361299,3890,https://www.zeczec.com/projects/mufu-v30p,"MUFU機車行車記錄器安裝使用很簡單，前後雙錄記錄影像，獨創違規點偵測語音播報，為國民省荷包，機車族必備好神機,zeczec",26 天,2022/04/07 11:00 – 2022/05/07 02:00
《世紀今日》看見366位中外名人改變世界的重要時刻｜找尋自我靈魂的重量,格林文化,311760,2700,https://www.zeczec.com/projects/grimmpress,"​格林文化郝廣才繼《今天》後，再推出《世紀今日》，用有力的文字、獨特見解，精挑細選366位真實英雄改變世界的故事，帶領讀者看見生命中重要的那天，擴大心靈版圖，找到自己的靈魂。,zeczec",51 天,2022/03/29 21:01 – 2022/05/31 23:59
Sealito T2 無線∞輕巧真空保鮮機｜一鍵真空封口，鎖住新鮮美味！,Sealito Taiwan,5830502,3160,https://www.zeczec.com/projects/sealito-t2,"免插電設計，好移動不佔位，擺脫線材的糾纏！四種真空與封口模式，更內置可拆集水槽與滑軌切刀，你想要的功能一次擁有！,zeczec",15 天,2022/03/15 21:00 – 2022/04/26 02:00
Go.Do.Be.Live! | 九型探索 Discover Your Type | 九種原型人格探索指南 by Annie Ivanova,Studio Ivanova,30378,849,https://www.zeczec.com/projects/discover-your-type,"這副牌卡將協助你透過九型人格類型了解自己與他人，適用於個人發展、團隊建立、化解衝突，並且與家人和朋友分享。,zeczec",51 天,2022/04/06 21:00 – 2022/05/31 23:59
旺福WONFU第十張創作專輯《你好我好大家好》實體募資計畫,旺福愛你,336151,690,https://www.zeczec.com/projects/wonfu,"旺福首張全立體專輯即將誕生！一張好聽好看又好玩的專輯，讓你親手打造屬於自己的旺福里立體場景組！無論是快樂還是悲傷，在這歲月靜好的俗常中，旺福的音樂都在這裡陪伴著你，歡迎入籍旺福里！,zeczec",51 天,2022/04/08 12:00 – 2022/05/31 23:59
JNA BP-401 快取郵差包 : 磁吸快取、創新收納設計，3種容量擴充方式，跨肩背/側肩背都有型！,JNA,3796303,3080,https://www.zeczec.com/projects/jna-bp-401,"我們以物品的重要性及取用頻率為規劃原則，衡量單手或雙手開包的需求、頻率及安全性，設計各種不同的口袋及開關方式，配置包包的四周，讓您在生活與工作無往不利～！,zeczec",27 天,2022/03/07 21:00 – 2022/05/07 23:59
【源興牛飼育計畫】- 來募台灣人的和牛，自己和牛自己養 ! ,群眾自造,3661123,2990,https://www.zeczec.com/projects/Tw-Ag-Mou,"【源興牛】是李登輝前總統留給我們最棒的禮物，李前總統曾說過「要讓臺灣人吃到比日本還好吃的牛肉」。為了完成這個夢想、讓臺灣人能擁有屬於臺灣人的優質牛肉，源興牛飼育計畫需要每一個你的支持！,zeczec",30 天,2022/03/22 11:00 – 2022/05/10 23:59
Roidmi 睿米 X300 無線吸拖吸塵器 | 業界頂級超強吸力、1 鍵自動清潔拖布、90 分鐘超長續航電力,Roidmi Taiwan 睿米,1143480,19980,https://www.zeczec.com/projects/roidmi-x300,"市場上唯一擁有27000 pa業界頂級超強吸力、90分鐘超長效電池、1鍵自動清洗拖布的最全能無線濕拖吸塵器,zeczec",37 天,2022/04/06 21:00 – 2022/05/17 23:59
即將調漲🚨【 sodastream｜DUO 氣泡水機 】2022 年全球獨家專利設計，快扣鋼瓶機種。享 2 年保固，免插電、一鍵輕鬆享用！,sodastream,1001590,5590,https://www.zeczec.com/projects/sodastream-duo,"質感旗艦新機，榮獲德國紅點設計獎以及 Good Design，輕鬆享用完美比例氣泡水！專用水瓶可放入洗碗機清洗，清潔又方便！,zeczec",10 天,2022/04/07 12:00 – 2022/04/20 23:59
Bard’s Whisper 哥德始源錶「聖喬治與龍」｜ 誕生於台灣的哥德式機械錶,吟遊詩人的呢喃,2186020,32800,https://www.zeczec.com/projects/bardswhisper-sanctus-georgius-and-dragon,"在42mm的錶面之上、以雕像重現了聖喬治與龍戰鬥的場面。暨2020年作品「聖母」後，再次聚集了多位台灣藝術家齊心創作，將機芯與工藝再次升級，企圖挑戰世界名錶的癡迷。,zeczec",6 天,2022/02/16 20:00 – 2022/04/16 23:59
Glolux 多功能可視採耳棒｜獨創可伸縮鏡頭，高清畫素、無人機芯片不掉圖 一支搞定個人清潔！,樂趣行創,260471,1580,https://www.zeczec.com/projects/glolux-find-x,"獨創可伸縮的內視型挖耳棒，結合擠痘功能，打造獨一無二的進化衛生用品，提升生活品質外更兼顧衛生習慣以及提高使用效率！,zeczec",20 天,2022/03/01 12:00 – 2022/04/30 23:59
邏輯解謎｜密室逃脫桌遊 破解古老的秘密,Amodas,632330,1490,https://www.zeczec.com/projects/escapewelt-puzzle-tw,"我們把實境密室逃脫縮小了，德國進口全木製，運用你的邏輯破解密碼，得到最後的智慧！,zeczec",19 天,2022/03/22 12:00 – 2022/04/30 02:00
BalanceOn 蜂巢凝膠『雙背』護脊椅 ▪ 實時支撐您的背部和腰部並減緩壓力，達到「腰椎合一」。,inco,1509380,2980,https://www.zeczec.com/projects/balanceon-Dual-Fit-Chair,"雙背護脊椅能將壓力分散在背部以緩解疲勞，並通過緊緊地包裹背部和腰部，減少施加的壓力，使其即使在移動或變化時也不會失去穩定性和支撐。#inco,zeczec",23 天,2022/03/15 11:00 – 2022/05/03 23:59
超音波⚡隨身清洗盒｜99.9% 潔淨力，補氧+保濕+清潔，一機到位！,Future Clean⁺,3502707,999,https://www.zeczec.com/projects/future-clean,"一鍵清潔，將平常清不到的髒污、灰塵通通震飛！搭載 IPX5 級防水、超高續航、補光燈，不論居家出門，一盒全搞定！,zeczec",8 天,2022/03/08 20:00 – 2022/04/19 02:00
【 SAMSUNG｜Smart Monitor M7 】三星首款全方位智慧聯網螢幕，全新 43 吋放大你的視界，4K UHD 超高解析度！拓展螢幕的無線可能！,samsung,6291001,19900,https://www.zeczec.com/projects/SAMSUNG-M7,"全新 43吋 放大你的視界，4K UHD 超高解析度！內建YouTube、Netflix、Disney+ ，無需連接至筆電，影音娛樂、辦公處理、遊戲休閒切換自如！,zeczec",7 天,2022/03/22 12:00 – 2022/04/18 02:00
敏迪選讀-手機裡的國際新聞台,敏迪,93951,59,https://www.zeczec.com/projects/mindynews,"支持【敏迪選讀】提供更親民、更寓教於樂的國際新聞,zeczec",,開始於2019/06/14 08:00
“River’s 543 plus”漫畫連載募資計畫,River,103189,100,https://www.zeczec.com/projects/river-s-543-plus,"讓熟悉的River漫畫角色們，再次演出一篇篇精彩的四格漫畫吧！,zeczec",,開始於2020/06/08 20:00
《 The Big Issue 大誌雜誌 》 疫情期應變訂閱方案,The Big Issue 大誌雜誌,154265,3360,https://www.zeczec.com/projects/the-big-issue,"2020 年開始的一場疫情改變了人類的生活，為了減緩疫情對大誌雜誌街頭販售員的衝擊，我們啟動了「短期訂閱服務」—— 您可以將這筆訂閱，指定給您經常購買的販售點之販售員，或交由我們來分配安排給販售...,zeczec",,開始於2021/05/18 23:20
蠢羊與奇怪生物《棒球人生賽》訂閱集資,蠢羊與奇怪生物,7493,99,https://www.zeczec.com/projects/stupidsheepbaseball,"《棒球人生賽》是一部道地台灣味、真實採訪取景、台灣時事用語的全彩漫畫，未來將推出單行本、布偶、球員卡與桌遊。只要每個月一點點的贊助，就能讓這些想法穩定實現。,zeczec",,開始於2019/11/13 20:00
毛孩的最後一哩路,毛孩的彩虹天堂,564088,50,https://www.zeczec.com/projects/Pet-Paradise2019-02-20,"在世界的各個⾓落，總能見到浪浪的身影，他們⼀生孤單、飢餓的在街頭流浪， 而等待他們的終點，常常是像垃圾一樣被丟棄。 我們是毛孩的彩虹天堂，我們希望浪浪也能好好走完最後⼀哩路，能有圓滿的善終。,zeczec",,開始於2019/02/20 09:00
「掃了再買」全新改版 — 讓企業負起責任的新運動,綠色公民行動聯盟,40285,200,https://www.zeczec.com/projects/gcaa_thaubing,"讓消費者有充分的資訊選擇友善環境的消費，促使企業負責任的生產，讓未來可以變得更美好。,zeczec",,開始於2020/03/17 20:30
 【眼舒適 零束縛眼罩】去去亮光走｜淺眠怕光者的遮光神器，首創黏貼式眼罩！,耳酷點子有限公司,803036,2432,https://www.zeczec.com/projects/comfort-eyemask,"世界第一款黏貼式眼罩，秒睡零束縛，顛覆你對眼罩的想像。淺眠怕光的救星，台灣生產製造，就是眼舒適,zeczec",,2022/03/03 12:00 – 2022/04/11 00:00
浪愛循環 ｜您買需要的商品，我們幫助浪浪及小農！,藏野匠｜優質生活,69722,849,https://www.zeczec.com/projects/lovecycle,"我們希望找到一個方式，可以讓「浪浪」、「小農」和你，都能夠經由我們將鳳梨皮再利用的「#鳳梨酵素」清潔用品，而過得更好。​,zeczec",,2021/12/13 21:00 – 2022/04/10 23:59
【女神菌】VGBIO超能水感益生菌｜裡外兼顧、由內美到外，散發女神光彩,美立固生技,50698,1650,https://www.zeczec.com/projects/vgbio,"VG33專利配方，『女神菌』啟動水潤彈力因子，成為行走發光體，打造真正的水潤透亮,zeczec",,2022/03/07 12:00 – 2022/04/10 23:59
【荔刻見到你-豔荔荔枝】全台最早上市的「精品」荔枝 ▍好農好物 GoodGoodFarm ▍,好農好物,50550,850,https://www.zeczec.com/projects/goodgoodfarm,"外型圓潤鮮紅美麗的豔荔荔枝，是全台最早上市的荔枝，台東太麻里果園草生栽培，果肉Q彈細緻，甜中帶酸，富含人體易吸收的小分子維他命C！ 三度入選精品百貨VIP廳展售，絕對是今春最獨特新奇的送禮首選。,zeczec",,2022/03/17 20:00 – 2022/04/10 23:59
低衝擊！關節、心肺零負擔！改變世界的家常運動：iNO 太空人律動機,iNO,114444900,16800,https://www.zeczec.com/projects/ino-600,"40年來千篇醫學論文證實【律動】是最簡單、輕鬆、安全的運動。30年前的太空人失去地心引力無法運動，而現代高齡化、忙碌沒時間運動的我們，就是太空人！,zeczec",,2021/12/15 12:00 – 2022/01/10 23:59
一秒變換風格，只要翻轉背包 - FlipBag™ by Allrover™,allrover®,69245122,730,https://www.zeczec.com/projects/flipbag,"FlipBag™ 翻轉背包，藉由專利的超快速變形結構「FLIP MECH +」，手提包一秒變成後背包，伴隨你的身份或場所的變化。出門不用再多帶一個包包，搭配風格由你決定。,zeczec",,2016/06/01 00:00 – 2016/08/10 23:59
【 萬播 T2R Max｜攜帶式微型投影機 】嘖嘖全球唯一首發！最強 CP 值，帶著走的行動劇院！,睿濬國際,40318600,7180,https://www.zeczec.com/projects/wanbo,"海外投影機類熱銷冠軍品牌，為使用者帶來全新沉浸式娛樂體驗。追劇、打 Game 不想再被侷限? 小空間也可以有大改變，台灣全球首發，CP 值最高的微型可支援 4K 投影機！,zeczec",,2021/04/27 12:00 – 2021/06/24 02:00
Stair-Rover™ - 八輪滑板讓你遨遊城市 毫無阻攔,allrover®,39062040,5980,https://www.zeczec.com/projects/allrover,"Stair-Rover是一塊能讓你在都市衝浪遨遊的滑板，板如其名，它獨特的八輪設計不但能跨越各種都市地形，更能讓你從樓梯頂端一衝而下，體會在水泥叢林浪端滑翔的快感！,zeczec",,2014/08/25 00:00 – 2014/10/20 23:59
【 HyperSonic+ | 職人護髮離子吹風機 】 品味生活 職人呵護 | 擁有自己專屬的髮型造型師,ZERO | 零式創作,990990,3290,https://www.zeczec.com/projects/HyperSonic,"獨家冷熱循環護理技術，針對各種不同需求，享有最舒適的風段，善用冷熱風交替吹才最美！,zeczec",23 天,2022/03/21 12:00 – 2022/05/04 00:00
minibig - 手指一滑，一秒躍升智慧居家，各種開關躺著一手控制！ 懶惰有理，智慧升級。,minibig,2028558,2290,https://www.zeczec.com/projects/minibig,"minibig 全系列智慧小工具，讓你用手機就能遠端遙控各式開關，不管是躺在床上還是遠在他方，巧妙組合全系列商品，讓你的懶人生活再升級，不只懶，更要聰明的懶惰！,zeczec",3 天,2022/03/03 20:00 – 2022/04/14 02:00
InPure 蒸舒壺｜一壺抵五台－結合電火鍋、快煮壺、舒肥機、優格機的自煮神器！自煮，讓生活更養生健康！,Inpure,797440,2590,https://www.zeczec.com/projects/sufupot,"InPure 蒸舒壺，一台結合舒肥機、優格機、燉煮鍋、電火鍋、泡茶機，一壺搞定廚房大小事。12種菜單快速按鍵、9.5小時智能預約，讓享受自煮生活也能變得舒舒服服。,zeczec",11 天,2022/02/22 21:00 – 2022/04/21 23:59
 MerryIoT 氦幣挖礦機 Helium Hotspot Miner V1 熱點 優選台灣品牌終於開賣!讓各位久等了,EZcomm,32080,14090,https://www.zeczec.com/projects/merryiot-helium-hotspot-miner-v1,"台灣公司出品的Helium 熱點礦機,zeczec",20 天,2022/04/02 10:00 – 2022/04/30 23:59
Terncy 台灣小燕科技｜Apple HomeKit宙斯智慧門鎖｜掌握居家安全的第一道防線,Terncy Taiwan,820618,12999,https://www.zeczec.com/projects/Terncy-Zeus-Homekit,"🔔依訂單順序出貨｜越早贊助享優先安裝🔔 智慧家庭第一步，從智慧門鎖開始，真正通過Apple HomeKit認證的智慧門鎖，支援六種最實用解鎖功能，符合全家大小使用習慣。,zeczec",39 天,2022/04/07 21:00 – 2022/05/20 02:00
0號玩家｜用一個新身份，打開無限可能性。,臺北表演藝術中心,154600,750,https://www.zeczec.com/projects/tpac-beta,"你認同觀看事物的角度不只一種、解答也不會像教科書只有一個正解，你支持這樣的開放性，喜歡不同的刺激，那你來對地方了。,zeczec",20 天,2022/04/08 12:00 – 2022/05/01 12:00
日本超人氣【 ISSENO ! 塑身蹦蹦墊】跟痛苦的健身說 莎喲娜拉~,Neo Choice ,1056085,3390,https://www.zeczec.com/projects/isseno,"只要彈跳10分鐘，就能幫助淋巴增強運作30倍，高效有氧運動。 在日本成為熱門話題的新型健身器材。 全家一起享受ISSENO!塑身蹦蹦墊帶來的快樂健身吧！,zeczec",51 天,2022/03/29 21:00 – 2022/05/31 23:59
加拿大吸血內褲品牌Aisle｜全世界獨創加量襯墊｜杜絕經期不安,Aisle吸血內褲,16265,999,https://www.zeczec.com/projects/aisle,"Aisle 前身為 Lunapads，是一個從 1993 年創立至今的加拿大老品牌，提供舒適、高品質、地球友善的生理用品，不只是月亮杯、布衛生棉，還有多款吸血內褲。,zeczec",30 天,2022/03/08 21:00 – 2022/05/10 23:59
炎夏不烤車 日本最強 ☂ 車用降溫遮光幕 ↓ 降溫10°C，秒速安裝免拆卸，1秒拉遮,Shinshade.tw,368402,2780,https://www.zeczec.com/projects/Shinshade,"炎夏不用再烤車！日本銷破數萬支的遮光幕來台囉！無痛輕鬆安裝、車內降溫10°C、1萬次拉伸測試可重複使用、不擋後照鏡、寬儀錶板適用，採用高品質鋁金不易脆化，夜晚更可當投影幕，無論核心技術或外型設計...,zeczec",58 天,2022/04/07 21:00 – 2022/06/07 23:59
PHILIPS 冷暖兩用無葉風扇｜每天都是時尚風,DoubleLife,2749712,6990,https://www.zeczec.com/projects/PHILIPS_AHR5164FD,"PHILIPS在台首度推出無扇葉風扇，鋁合金機身、超遠風距、搭配DC恆溫， 絕對是你365天的居家神隊友。,zeczec",4 天,2022/03/15 12:00 – 2022/04/14 23:59
全台首發 📣 樂扣樂扣｜微笑騎士不鏽鋼隨行杯｜可提可掛不怕漏，莫蘭迪質感配色，讓你隨時享受喝飲料樂趣 ! ,台灣樂扣樂扣,1620126,878,https://www.zeczec.com/projects/locknlocktw,"專為台灣機車族打造，不鏽鋼提把設計，隨手提隨處掛輕鬆帶著走，同時擁有樂扣樂扣高品質密封設計，外出放入包包、機車車廂中不怕飲料溢出，又能地球環保盡一份心力。,zeczec",23 天,2022/03/23 12:00 – 2022/05/03 23:59
DIGIFAST DX3 全方位隨身攜帶M.2/SSD 外接座 ｜極速讀寫 M.2/SATA ，一機搞定!,DIGIFAST INC,144553,1649,https://www.zeczec.com/projects/digifast,"你也有這種困擾嗎? 換桌機、換筆電，備份重要資料時當掉超崩潰？ 各種外接盒組裝/拆卸超耗時？你的聲音，DIGIFAST聽到了， 史上最方便跨介面傳輸大師DX3 M.2/SSD外接座就此誕生!!!,zeczec",42 天,2022/04/07 20:00 – 2022/05/22 23:59
