一起支持遲緩兒媽媽 ► 贊助一本童書！讓偏鄉遲緩兒能從小開始，透過閱讀進行治療,一起夢想,104810,100,https://www.zeczec.com//projects/rortaiwan-510,"這個母親節：贊助募集 300 本童書，送入 300 個弱勢家庭，陪超過 300 個孩子一起說故事。透過閱讀，能提早發現遲緩兒徵兆，讓他們有機會追上其他孩子的腳步！,zeczec",23 天,2022/05/01 00:00 – 2022/05/31 23:59
一起幫助迷惘的媽媽 ► 讓暴力不再發生、不再惡性循環，讓母親找回自己的角色,一起夢想,115620,100,https://www.zeczec.com//projects/jedidiah_510,"暴力會摧毀一個家。當不幸發生後，若能讓專業諮商、團體溝通課程及早介入，就能幫助這些有暴力風險的家庭，儘早重建關係。而飽受驚嚇的孩子們，也有機會獲得療癒、學習新的人際互動方式，避免暴力惡性循環。,zeczec",23 天,2022/05/01 00:00 – 2022/05/31 23:59
一起支援貓媽媽 ►「奶貓中繼站」為 80 隻奶貓孤兒，籌奶粉錢！,一起夢想,294488,100,https://www.zeczec.com//projects/love-animal-510,"4-6月奶貓潮，當人類在慶祝母親節，卻有一群奶貓孤兒因為不同原因失去了母親的呵護。為此，有一群熱誠的「志工貓媽媽」接下了救援任務，卻缺乏足夠的奶水食物，急需要您們的贊助，一起籌措奶粉錢！,zeczec",23 天,2022/05/01 00:00 – 2022/05/31 23:59
一起支持長照媽媽做健檢 ► 心力交瘁的照護者如果倒下，倒下的將是一個家庭,一起夢想,62610,100,https://www.zeczec.com//projects/mdvi-510,"幫 40 個單親視多障家庭，募集健康檢查與家庭訪視費，讓障礙兒的家長能夠繼續支撐下去。,zeczec",23 天,2022/05/01 00:00 – 2022/05/31 23:59
一起支持病友媽媽 ► 身為「先天性成骨不全症」的母親，每一天都小心翼翼，請幫助我守護他們！,一起夢想,168210,100,https://www.zeczec.com//projects/OI-510,"「先天性成骨不全症」的患者又俗稱「玻璃娃娃」，孩子容易反覆骨折，留下長短腳後遺症；或者因骨骼變形，出現鐮刀手、鐮刀腳、脊柱畸形、聽力不佳、肌肉無力等 ...... 要守護他們長大，困難重重！,zeczec",23 天,2022/05/01 00:00 – 2022/05/31 23:59
一起支持工傷媽媽 ► 做工的爸媽受傷後，家庭該怎麼辦呢？《陪媽媽兜風》繪本共讀巡迴計畫,一起夢想,145260,100,https://www.zeczec.com//projects/tavoi-510,"只要做工作，就可能經歷工作傷害！母親節此刻，台灣有許多工傷家庭正在經歷措手不及的艱難，而且可能就是我們周遭的同學親友。透過繪本共讀計畫，從小開始建立對於「工傷」的理解與重視。,zeczec",23 天,2022/05/01 00:00 – 2022/05/31 23:59
【日日居ZEZEGOOD｜ZEfoam零壓科技綿】睡眠新革命 三眠制釋壓床墊 挑好床枕 從“材質”開始,日日居 ZEZEGOOD,752030,2230,https://www.zeczec.com//projects/zezegood-zefoam,"挑好床枕 從“材質”開始 遍尋全球床墊材質，由專利材質出發，你知道記憶綿、乳膠、獨立筒，但你可能不知道「ZEfoam零壓科技綿」。,zeczec",29 天,2022/04/28 19:00 – 2022/06/06 23:59
Go.Do.Be.Live! | 九型探索 Discover Your Type | 九種原型人格探索指南 by Annie Ivanova,Studio Ivanova,147614,849,https://www.zeczec.com//projects/discover-your-type,"這副牌卡將協助你透過九型人格類型了解自己與他人，適用於個人發展、團隊建立、化解衝突，並且與家人和朋友分享。,zeczec",23 天,2022/04/06 21:00 – 2022/05/31 23:59
New KableCARD︱都市生存卡 2.0，搞定充電所有事，城市生存再進化！,CARD x 甲子,460984,899,https://www.zeczec.com//projects/newkablecard,"這次我們將都市生存化再進化 New kablecard 並搭配卡片系列的個人皮卡燈 CARD Light，讓個人城市生存裝備更完善 !,zeczec",23 天,2022/05/05 10:00 – 2022/05/31 23:59
【彿堤斯 | 中型寵物烘毛室】為台灣「中大型汪喵」及「多寵家庭」量身打造！,清度,1043701,16800,https://www.zeczec.com//projects/vortice,"一款專為體型 7-15 公斤的中型犬、大型貓，以及有著多隻小型寵物的家庭所設計，超越 5 星等級，寬敞、舒適、輕鬆無壓力的烘毛空間！,zeczec",28 天,2022/05/05 11:00 – 2022/06/05 23:59
TIFG日本製焚火台 | 耐重鋼板不變形，收納厚度不到1公分，營火野炊職人逸品 · TakiBeIta焚火台,Single Step,1830171,4490,https://www.zeczec.com//projects/tifg-takibeita,"露營烤肉,營火活動最值得擁有的職人焚火台，日本集資排名第一！日本香川縣TIFG鐵匠鍛造，厚實鋼板耐重不變型，組裝快速收納不到1cm！世界最美燒柴爐,zeczec",8 天,2022/04/12 12:00 – 2022/05/16 23:59
夢遊的人Dennis in Wonderland - Live session,有享娛樂,482722,800,https://www.zeczec.com//projects/Dennis_in_Wonderland,"由金馬影帝莫子儀、金曲作曲黃裕翔、非典型音樂製作人日京江羽人共同跨域創作，最跳躍邏輯的夢境之旅。,zeczec",23 天,2022/04/01 12:20 – 2022/05/31 23:59
【 Revopoint POP 2｜攜帶式 3D 全彩高精度掃描儀 】0.05mm 高精度升級，個人化逆向掃描建模王者再革新！,Revopoint 3D Taiwan,9210669,13980,https://www.zeczec.com//projects/revopoint-pop-2,"更高掃描精度，更流暢的操作，更好的色彩效果，無刺激光源的紅外掃描原理，檔案格式相容性高。自動對齊與自定義編輯功能設定，輕巧好攜帶的造型與簡易的連接方式。,zeczec",22 天,2022/03/16 12:00 – 2022/05/31 02:00
【聲藝】 學習聲音的藝術，幫助你談成生意，搞定關係,歐馬克,1416960,1980,https://www.zeczec.com//projects/metavoice,"成立一個幫助人們探索與認識自己的平台，提供文章、影音、線上課程、線下工作坊資源，讓人們可以活出理想的生活，成為心目中的自己,zeczec",36 天,2022/04/13 21:00 – 2022/06/13 23:59
為 450 多隻流浪犬貓，打造能遮風避雨的家｜浪浪庇護所修繕計畫,社團法人關懷流浪犬貓鮮食協會,371300,500,https://www.zeczec.com//projects/FCD02,"我們目前收容流浪犬貓的園區，僅有陽春的帆布遮雨，而且時常大積水，容易造成疾病。希望集結善心人士，募集改建經費。讓救援後的動物，能有個遮風避雨的的家。,zeczec",53 天,2022/04/01 10:00 – 2022/06/30 23:59
RAF KAMPO 純分離植萃乳清蛋白｜最適合華人的乳清蛋白｜需要的營養一包搞定｜專利成份劑量清楚｜獨家腸道保護配方,RAF KAMPO,325640,2580,https://www.zeczec.com//projects/rafkampo,"全新舒眠配方與晶亮配方，是您補充蛋白質同時修護機能的新選擇。選用多國專利成份，安心有保障，每份均含有25公克以上蛋白質。,zeczec",45 天,2022/05/08 12:00 – 2022/06/22 23:59
【 OTUS 奧特視｜視力訓練智慧眼鏡 2 】眼部訓練全新升級，智慧管理輕鬆保持好視力。,OTUS Taiwan,3069101,11480,https://www.zeczec.com//projects/otus-2,"眼部訓練全新升級，智慧管理輕鬆保持好視力。你全家的視力，繼續由奧特視來守護。一代近800名贊助者使用肯定，團隊聽取使用意見再度改進； 美國藍圖療法加持，AI 智慧分析改進， 更好用的 APP 設...,zeczec", 40 小時,2022/04/06 12:00 – 2022/05/11 02:00
Smio.V 美妍小 V ✦ 4 in 1 溫冷緊緻按摩儀，在家就能享受的頂級 SPA 舒壓保養！,lisscode,8396273,2180,https://www.zeczec.com//projects/lisscode-smio-v,"台灣設計製造，一機結合導入、冰敷、按摩、刮痧，從臉到腳全方位完美貼合，舒壓與保養一次滿足。維持你最美狀態的秘密武器！,zeczec", 40 小時,2022/03/08 12:00 – 2022/05/11 02:00
 數感宇宙探索課程｜為國小生打造的生活數學 DIY 影音學習組｜給孩子一堂不一樣的數學課,數感實驗室,2400670,1790,https://www.zeczec.com//projects/numeracymaker,"本課程結合數感實驗室逾 10 年數學教育經驗、史丹佛大學「成長型數學思維」理論。內容針對國小中年級以上的孩子，強調具體、跨域、手作、情境。鼓勵孩子探索思考，讓孩子愛上數學。,zeczec",50 天,2022/05/04 12:00 – 2022/06/28 02:00
MUFU V30P 好神機｜前後雙錄機車行車記錄器｜內建違規偵測語音播報提醒功能幫你『省荷包』,MUFU,5595624,3890,https://www.zeczec.com//projects/mufu-v30p,"MUFU機車行車記錄器安裝使用很簡單，前後雙錄記錄影像，獨創違規點偵測語音播報，為國民省荷包，機車族必備好神機,zeczec",33 天,2022/04/07 11:00 – 2022/06/10 23:59
MiniBle X 微氣泡起波器｜清潔、除菌、去農殘，一顆搞定｜家用微氣泡革命，居家用水品質大升級！,HerherS和荷時際,4307582,1750,https://www.zeczec.com//projects/minible-x,"從台灣開始，我們想要繼續照顧地球，實踐每個家裡都擁有微氣泡的承諾。,zeczec",15 天,2022/04/19 20:00 – 2022/05/24 02:30
SGS PRO 智慧迷你雕刻拋光筆｜無線便攜，雕刻、打磨、拋光的最佳助手！,Arrowmax Taiwan,782490,2280,https://www.zeczec.com//projects/sgs-pro-smart-mini-electric-engraving-polishing-pen,"Arrowmax 便攜式智能工具套組 系列中的第三款『SGS PRO』 - 作為一個小型無線智能工具 讓你在任何時候都能隨意雕刻、研磨、打磨和拋光任何物件。,zeczec",23 天,2022/04/07 12:00 – 2022/05/31 23:59
【日本島產業SHIMA SANGYO｜廚餘除臭乾燥機】溫風烘乾廚餘、活性碳設計有效除臭，美型無刀片好清洗!,Suntrail,463780,9990,https://www.zeczec.com//projects/shima-sangyo,"日本廚餘機領導品牌｜溫風烘乾乾燥廚餘、活性碳除臭、運轉超靜音、免安裝插電即可用，無刀片更好洗的廚餘機。美型小巧榮獲多項國際設計大賞。 ,zeczec",7 天,2022/04/08 09:00 – 2022/05/15 23:59
日本國寶級工藝輪島塗職人手工打造｜輪島漆萬用料理鏟｜田谷漆器店,KK select,1383601,1750,https://www.zeczec.com//projects/wajimanuri2,"擁有 200 年以上歷史的田谷漆器店，改良國寶級工藝輪島塗職人工具所製成的第二代萬用料理鏟，雙重抗菌保護，再也不擔心木鏟發霉！,zeczec",4 天,2022/04/12 12:00 – 2022/05/12 23:59
【 Tairona R-01｜真．輕巧，掌上劇院 】小巧便攜，畫質清晰。小體積，大「視」界！滿足你從 居家生活 到 戶外旅遊！,inaday's,8796496,8888,https://www.zeczec.com//projects/tairona-r-01-l-4k,"inaday's 首次推出 [ 掌上劇院 ]，堅持品質及功能性一致，絕對顛覆你對微型投影機的既定印象!!!,zeczec",18 天,2022/04/19 11:00 – 2022/05/26 23:59
【雲米】方糖洗碗機 - 「我不想洗碗！」入手人生第一台免安裝洗碗機,雲米 VIOMI,5394801,7990,https://www.zeczec.com//projects/sugar,"萬元內、免安裝、超省水！比手洗省 10 倍水量，16 道強力水柱＋UVC 99.99% 強力殺菌，一鍵按下，讓曾經的洗碗惡夢，變得簡單俐落。,zeczec",29 天,2022/05/05 12:00 – 2022/06/07 02:00
韓國 HYUNDAI 捲捲地板｜輕輕一滾，DIY居家改造超easy！吸震隔音、軟底設計，寵物嬰兒都安心！,韓國 Hyundai 現代科技家居,537430,2180,https://www.zeczec.com//projects/hyundai-rolling-floor,"韓國 HYUNDAI 最新「捲捲地板」，不僅擁有舒適腳感，更能吸震隔音，九大功能輕鬆幫您解決家裡傳統地板的問題，最重要的是：自己鋪5坪地板只要1小時，租屋族也能輕鬆上手！,zeczec",41 天,2022/05/05 12:00 – 2022/06/19 02:00
2022 閱讀島中央 週三讀書會｜現場與線上講座同步啟動,財團法人上善人文基金會中央書局,1424000,1200,https://www.zeczec.com//projects/cbs_wed_reading_s3,"老店新生，以創造風潮的讀書會，繼承中台灣的人文精神。從臺中中央書局出發到全臺的閱讀熱情,邀請你繼續參加這個盛大的閱讀計畫,由詹宏志、王浩威、曾成德、焦元溥、楊澤等5位講師組成黃金陣容,線上/現場...,zeczec",15 天,2022/03/23 21:00 – 2022/05/23 23:59
石頭掃拖機器人 S7 MaxV Ultra ｜五項全自動．六合一清潔座搭載業界最強5100PA吸力，掃地機界真王者！,Roborock Taiwan,141013816,39888,https://www.zeczec.com//projects/roborock-s7-maxv-ultra,"全球最大的掃地機器人製造商Roborock石頭科技， 推出全新頂級旗艦機種 —S7 MaxV Ultra ▶︎ 重金打造旗艦高規格機款，再次顛覆你對掃地機的想像！做到讓您真正解放雙手！,zeczec", 14 小時,2022/04/12 10:00 – 2022/05/09 23:59
【 SAMSUNG｜Bespoke Jet™ 】三星風暴級無線變頻吸塵器，韓國熱銷超過 30 萬台 ✧ 科技美型 1.44KG 極輕設計，獨立集塵充電座，210W 超強吸力！,samsung,1819800,34400,https://www.zeczec.com//projects/samsung-bespoke-jet,"吸地、拖地、集塵，這台通通搞定！一機包辦，灰塵零接觸！全機 2 年保固，主機馬達 10 年保固！,zeczec",9 天,2022/04/19 12:00 – 2022/05/18 02:00
《瀕臨絕種團RESCUTE》訂閱服務,春魚,54010,99,https://www.zeczec.com//projects/rescute,"臺灣瀕臨絕種動物擬人，並組成女團出道，為自己的生存權發聲。期許透過虛擬偶像的經營，向更多一般大眾傳遞野生動物保育知識與資訊。,zeczec",,開始於2020/10/15 20:00
毛孩的最後一哩路,毛孩的彩虹天堂,583659,50,https://www.zeczec.com//projects/Pet-Paradise2019-02-20,"在世界的各個⾓落，總能見到浪浪的身影，他們⼀生孤單、飢餓的在街頭流浪， 而等待他們的終點，常常是像垃圾一樣被丟棄。 我們是毛孩的彩虹天堂，我們希望浪浪也能好好走完最後⼀哩路，能有圓滿的善終。,zeczec",,開始於2019/02/20 09:00
《島民居住可愛計畫》｜居住議題紀錄片影集募資,持續滾動影像有限公司,10777,99,https://www.zeczec.com//projects/zhaizhaitogether,"透過影像專業的技能，記錄台灣合作住宅發展的推動過程，提供島民一個友善、可負擔的居住新選擇。,zeczec",,開始於2021/05/14 20:00
《WalkingBlock徒步街廓》屬於都會人的電子雜誌,臺北市青年支持未來都會再生協會,499,200,https://www.zeczec.com//projects/WalkingBlock,"支持永續行動其實很簡單，透過WalkingBlock發掘大台北更多的未來可能，並開始思考如何讓這座城市變得更美好。,zeczec",,開始於2022/05/06 17:00
《 The Big Issue 大誌雜誌 》 疫情期應變訂閱方案,The Big Issue 大誌雜誌,150489,3360,https://www.zeczec.com//projects/the-big-issue,"2020 年開始的一場疫情改變了人類的生活，為了減緩疫情對大誌雜誌街頭販售員的衝擊，我們啟動了「短期訂閱服務」—— 您可以將這筆訂閱，指定給您經常購買的販售點之販售員，或交由我們來分配安排給販售...,zeczec",,開始於2021/05/18 23:20
