projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period
"2023【LOVE U, 兔】甜點日曆｜呷甜甜，過好年｜學會甜點讓每天都過的甜一點",Love U Too Cake,100359.0,178.0,https://www.zeczec.com/projects/loveutoocake,"✧ 你知道花有花語~ 甜點也有藏在其中的小寓意嗎? 讓我們一起認識風靡世界的甜點．兔兔年就是要過的好吃又好玩~,zeczec",31 天,2022/10/05 12:00 – 2022/12/01 23:59
Piazoo鍵盤上的動物園 ｜專為鋼琴初學者設計 | 音樂遊戲卡牌,楊乃潔,107169.0,490.0,https://www.zeczec.com/projects/piazoo,"一款專為鋼琴初學者設計的音樂遊戲暨創作卡牌。透過多變的遊戲方法，從中熟悉各項彈鋼琴時會用到的音樂元素，亦可隨心所欲的根據卡牌內容玩創作。進入鋼琴學習的世界，從玩不膩的卡牌遊戲開始！,zeczec",18 天,2022/10/18 21:00 – 2022/11/19 02:00
【精裝典藏】2022大勢韓劇｜人生劇創造者 ‧ 盧熙京《我們的藍調時光》劇本雙書,新經典文化,198669.0,999.0,https://www.zeczec.com/projects/OurBlues,"「這是一部為站在生命的盡頭、頂峰或是起跑點的所有人所寫的應援故事。」──盧熙京,zeczec",27 天,2022/10/25 12:00 – 2022/11/28 02:00
廚佛瑞德Fred｜三秒入魂川味麻辣燒醬｜就是我十年前，在四川一嚐入魂、難忘至今的頂級香氣和麻辣滋味！,廚佛瑞德 Fred,1818773.0,999.0,https://www.zeczec.com/projects/FredJam,"重現四川老師傅的手藝，把川菜經典的香、麻、辣徹底發揮。「三秒入魂川味麻辣燒醬」純手工熬煮、加入頂規食材，要把當年震撼我的味覺體驗分享給你。,zeczec", 15 小時,2022/09/22 20:00 – 2022/11/01 23:59
眠豆沙 | 今天開始搶著睡沙發的台灣製手工沙發,眠豆腐,12727590.0,39590.0,https://www.zeczec.com/projects/sleepytofu-sofa,"為了你寶貴的療癒時光，眠豆腐決定打造一款沙發，拿出所有獨家秘方，回歸沙發的核心機能：好坐又好躺。我們稱它——眠豆沙！,zeczec",15 天,2022/09/27 20:00 – 2022/11/15 23:59
2023｜兔兔高升｜貓日曆 - 和貓咪一起天天好心情，享受好運氣！,HANK MAX STUDIO,4861342.0,240.0,https://www.zeczec.com/projects/catflip2023,"你知道兔年（卯年）也是貓咪年嗎？2023 和貓貓一起兔兔高升吧！*ΦωΦ)ノ,zeczec",24 天,2022/09/07 11:50 – 2022/11/24 23:59
【 that 想想鍋｜IH 水蒸・舒肥】專為台灣人設計的第一台智能電鍋，將想念的滋味端上桌！,that,1406460.0,10900.0,https://www.zeczec.com/projects/that-ih-pressure-ricepot,"\\ 超早鳥最優惠，倒數計時中 // that 想想鍋具備 #IH環繞加熱 #類真空鑄鐵鍋蓋 #無油舒肥料理 等黑科技，兼具效率、節能、美學，讓您優雅享用健康美食，為生活增添美好！,zeczec",38 天,2022/10/25 20:30 – 2022/12/09 02:00
【WondaMop｜免換水淨水拖把組】污水淨化 × 淨水循環 × 細菌濾淨 × 免倒換水 × 極致乾淨 ＠限時加贈，倒數24小時，最後搶購！,富商國際股份有限公司,2930116.0,1380.0,https://www.zeczec.com/projects/wondamop,"2000年來拖把的全新革命：讓人""嘖嘖稱奇""的拖把! 拖地居然可以不用換水，2.5公升拖地水...居然可以重覆使用如此清澈！ 『從此拖地免換水』＃超濾淨＃真乾淨,zeczec",42 天,2022/10/25 12:00 – 2022/12/13 02:00
𝙈𝙞𝙟𝙞𝙡𝙮 𝘼𝙞𝙧 大氣涼拖鞋｜𝟭 鞋 𝟰 穿的機能神拖 - 急反彈、強支撐、超耐走！,Mijily 米吉利循環鞋履,5798075.0,1680.0,https://www.zeczec.com/projects/mijily-air,"這是『史上第一雙大氣控壓的涼拖鞋！』兼具四種鞋面穿法、吊掛收納、耐磨止滑、專利高支撐鞋體，同時輕盈舒適且可回收的休閒涼拖鞋。Mijily 不只賣鞋，我們更注重售後的回收機制！,zeczec",7 天,2022/08/03 12:00 – 2022/11/08 02:00
XpreSole® Blocks 全防水積木咖啡靴｜踏出童心，擺脫潮濕！無論晴雨，每一步都輕盈乾爽,Lab22 Taiwan,602080.0,2880.0,https://www.zeczec.com/projects/xpresole-blocks,"Blocks 積木咖啡靴｜由咖啡渣製成、防水、透氣、舒適、超輕、乾爽等 12 項超強機能，加上獨家積木鞋底，帶你找回童心，穿出風格！,zeczec",67 天,2022/10/31 12:00 – 2023/01/06 23:59
