集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間,集資開始,集資結束
大古鑄鐵雙雙鍋｜一鍋雙用大革新，是湯鍋也是平底鍋！天然不沾、無毒耐刮、收納超 Easy！,大古鑄鐵,7816200,7880,https://www.zeczec.com/projects/takuironware-double-castiron-pot,"特殊雙鍋設計，是湯鍋也是平底鍋，拆卸式把手讓烹飪過程不燙手、收納更靈活，蒸煮烤炸煎燉都適用，滿足你對料理的多種想像！,zeczec",25 天,2022/06/23 12:00 – 2022/08/05 02:00,2022-06-23 12:00:00,2022-08-05 02:00:00
全球首發【 Logi Dock｜羅技全功能擴充底座工作站 】滿足所有連接需求、工作效率開外掛！,Logitech Taiwan,3851776,10980,https://www.zeczec.com/projects/logi-dock,"整合集線器、音視訊管理，內建降噪麥克風與擴音喇叭，電腦手機串聯，萬能工作站登場，高效工作必備 !,zeczec",17 天,2022/06/29 12:00 – 2022/07/28 02:00,2022-06-29 12:00:00,2022-07-28 02:00:00
丹麥爸媽也瘋狂的 MODU 回來啦！全新推出「半球積木」讓建築小宇宙再爆發！,MODU TAIWAN (QBEAN),2979680,8100,https://www.zeczec.com/projects/modu-ball,"MODU 是一組真人大小的變形積木，它可以是 √學步車 √搖搖馬 √滑步車 √甚至是平衡板－想要什麼玩具都可以自己搭！MODU 已經準備好要讓孩子們的「建築小宇宙」大爆發！,zeczec",19 天,2022/06/16 20:00 – 2022/07/30 02:00,2022-06-16 20:00:00,2022-07-30 02:00:00
戰爭來臨前做好最壞的打算｜黑熊學院 民間防衛訓練計畫,黑熊學院 kuma academy,1998069,1000,https://www.zeczec.com/projects/kuma-acadamy,"台灣比過去20年更接近戰爭邊緣，提升民眾抵抗意志，培養自我保護、守護他人的能力，起造自己的護國神山。,zeczec",32 天,2022/06/28 12:00 – 2022/08/11 23:59,2022-06-28 12:00:00,2022-08-11 23:59:00
【 arpara AIO 5K｜VR 一體機 】VR 玩樂究極進化，5K Micro-OLED 螢幕無「線」暢快。,arpara TW,1483180,19680,https://www.zeczec.com/projects/arpara-aio-5k-vr,"延續廣受好評的 5K Micro-OLED 螢幕，加上自帶一體機作業系統，官網推出的完美相容VR手柄，暢玩 SteamVR 以及更多遊戲平台內容。帶你ALL IN ONE體驗遊戲觀影最終奧義！,zeczec",11 天,2022/06/21 12:00 – 2022/07/22 02:00,2022-06-21 12:00:00,2022-07-22 02:00:00
MATURE 美萃夾心陶瓷爐｜三機合一 • 夾住美味 • 開啟派對,美萃 MATURE,1435127,3580,https://www.zeczec.com/projects/mature,"專為台灣人設計！結合火烤兩吃、電烤盤和熱壓機三種功能，烤盤配件全面使用「安心陶瓷塗層」，搭配「移動式除油煙機」不需再煩惱食安及油煙問題,zeczec",31 天,2022/06/29 21:00 – 2022/08/10 23:59,2022-06-29 21:00:00,2022-08-10 23:59:00
【 最後 1 天 】𝘿𝙢𝙤 義式『雙』膠囊機｜美式/義式/Nespresso & Dolce Gusto 都可以沖！,OSNER Taiwan,1399440,5680,https://www.zeczec.com/projects/dmo-coffee,"連續 5 年榮獲韓國 Brand Awards 的客戶滿意金獎，嗨翻韓國的 D-mo 已熱銷逾 100,000，深受廣大韓友喜愛！,zeczec",36 天,2022/06/29 11:00 – 2022/08/15 23:59,2022-06-29 11:00:00,2022-08-15 23:59:00
【 GPLUS｜GP 大黑鯨，多功能吸拖刷洗地機 】除塵、濕拖、自動清洗七合一，CP 值王者！,GPLUS,1325200,7780,https://www.zeczec.com/projects/gplus,"一鍵啟動自動清洗滾刷，搭載旋風級強力馬達，一吸就到位！續航力高達 45 分鐘，長時間清潔不斷電！輕量機身僅 3.9 公斤，讓你從此輕鬆應對生活中所有掃除時刻！,zeczec",18 天,2022/06/30 12:00 – 2022/07/29 02:00,2022-06-30 12:00:00,2022-07-29 02:00:00
【 PHONE SLING BAG & WALLET｜手機單肩錢包 】創新內置錢包的終極智慧手機單肩包！,Ögon Designs,1310798,2999,https://www.zeczec.com/projects/ogondesigns,"OgonDesigns 法國原廠推出手機單肩錢包，這款外觀精美的單肩錢包可快速方便地取用，專為城市打造，但在戶外環境中表現同樣出色，輕便、舒適且實用。,zeczec",23 天,2022/06/28 11:50 – 2022/08/03 00:30,2022-06-28 11:50:00,2022-08-03 00:30:00
【Innfact | GaN好快！ 模組延長線】全球首創，配置隨心所欲的模組化設計！,innfact,1131754,980,https://www.zeczec.com/projects/krait,"全球首創，能隨心所欲拆裝、依需求改變配置的延長線！而且，不用變壓器也能直接充筆電！ 它能辦到的，絕對比你想像的多更多！,zeczec",31 天,2022/06/29 11:00 – 2022/08/10 23:59,2022-06-29 11:00:00,2022-08-10 23:59:00
SPUTNIK 機能貓砂盆｜品味Ｘ機能｜以貓行為作設計核心，為貓咪打造最舒適的如廁體驗,SPUTNIK,1014413,1830,https://www.zeczec.com/projects/SPUTNIK-Litter-Box,"以貓行為作為設計核心的寵物貓砂盆，在乎貓咪如廁的衛生及舒適性，首創獨立走道，一體成形的加高設計，貓砂再也不會四處噴濺，並整合清潔貓砂工具，提供專屬收納空間，讓身為貓奴的你，清潔貓砂簡單不費力。,zeczec",32 天,2022/06/28 21:00 – 2022/08/11 23:59,2022-06-28 21:00:00,2022-08-11 23:59:00
