商品名稱,提案人,累積金額,商品單價,項目網址,商品網址,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束
【 xTool D1 Pro 20W 雷雕機 】王者歸來！歡迎來到頂規 20W 二極體雷射新世界⚡,Makeblock,5456960.0,43980.0,https://www.zeczec.com/projects/xtool-d1-pro-20w,"✨ 加倍快｜加倍強｜加倍準。硬實力，就是我的超能力！ 熱愛創作的你是否就差一台功率更強、創意不受限的雷雕機呢？,zeczec",24 天,2022/11/03 12:00 – 2022/12/08 02:00,2022-11-03 12:00:00,2022-12-08 02:00:00
CHIMEI奇美 瞬熱智慧溫控飲水機｜制霸市面瞬熱飲水機，容量、面板、規格、品質全面大升級，高貴不貴，一鍵瞬熱,CHIMEI 奇美家電,4787507.0,3680.0,https://www.zeczec.com/projects/chimei,"304不鏽鋼導熱出水管專利技術，完美克服瞬熱出水難題，SGS認證不含雙酚A安全大容量水箱，5層淨化TÜV認證專業濾心，6大安全保護，免擔心乾燒、跳電、過熱等問題，讓你一鍵瞬熱，安心飲水。,zeczec",26 天,2022/10/26 10:30 – 2022/12/09 23:59,2022-10-26 10:30:00,2022-12-09 23:59:00
【WondaMop｜免換水淨水拖把組】污水淨化 × 淨水循環 × 細菌濾淨 × 免倒換水 × 極致乾淨 ✨超超早鳥優惠🔥雙11緊急加開，把握最後機會！,富商國際股份有限公司,4082232.0,1380.0,https://www.zeczec.com/projects/wondamop,"2000年來拖把的全新革命：讓人""嘖嘖稱奇""的拖把! 拖地居然可以不用換水，2.5公升拖地水...居然可以重覆使用如此清澈！ 『從此拖地免換水』＃超濾淨＃真乾淨,zeczec",29 天,2022/10/25 12:00 – 2022/12/13 02:00,2022-10-25 12:00:00,2022-12-13 02:00:00
【無限筆芯｜TIJ™鈦極鋼珠筆 Extreme】長短可調整、筆芯零微動、換芯免工具、能裝就能用,TIJ鈦極筆,3467280.0,2930.0,https://www.zeczec.com/projects/tijrpen,"鈦極系列集大成之作，筆芯和筆尖以獨創技術緊密接觸，達到了最高水準的不抖動書寫感、近乎無限多種筆芯支援，免工具30秒換好各種尺寸筆芯。,zeczec",24 天,2022/10/27 21:00 – 2022/12/08 02:00,2022-10-27 21:00:00,2022-12-08 02:00:00
【CA160-超疏水膜】滴水不沾、視線清晰、持久耐用！地表最強防雨貼膜,淨對流 X 科學研選,2805281.0,390.0,https://www.zeczec.com/projects/ca160,"世界首款奈米微針超疏水膜。經科學實測，不沾水能力與耐用度皆為市售最強！輕鬆提升雨天行車安全，保持優雅好心情~,zeczec",37 天,2022/10/20 13:00 – 2022/12/20 23:59,2022-10-20 13:00:00,2022-12-20 23:59:00
【 that 想想鍋｜超早鳥優惠 11.11 強勢回歸】超越傳統電鍋的智能電鍋，星級料理隨時上桌！,that,2033250.0,10900.0,https://www.zeczec.com/projects/that-ih-pressure-ricepot,"\\ 超早鳥優惠 11.11 強勢回歸 // that 想想鍋具備 #IH環繞加熱 #類真空鑄鐵鍋蓋 #無油舒肥料理 等黑科技，兼具效率、節能、美學，讓您優雅享用健康美食，為生活增添美好！,zeczec",25 天,2022/10/25 20:30 – 2022/12/09 02:00,2022-10-25 20:30:00,2022-12-09 02:00:00
【il modo小長夾】是日製手工真皮小長夾，也是職人的信念,STATUSY TAIWAN x 有設計,1777265.0,3560.0,https://www.zeczec.com/projects/ilmodo,"職人嚴選日本姬路高品質真皮皮革，歷經層層工序，將信念與期待融入手作，傾聽使用者的聲音，持續創新設計，盼能為使用者帶來幸福感，同時傳承製革傳統工藝,zeczec",43 天,2022/10/18 10:30 – 2022/12/26 23:59,2022-10-18 10:30:00,2022-12-26 23:59:00
【海樂緹 睡眠元年毯被】擁有次世代規格的冬被/四季毯，一次解決被子所有問題,海樂緹 石墨烯,1553147.0,6580.0,https://www.zeczec.com/projects/hlt-quilt,"助眠纖維，保健效果，極速調溫，持久涼感，超強保暖，石墨烯嫘縈專利製程，一體成形新技術，無助劑後加工，真正一件抵N件,zeczec",17 天,2022/10/20 20:00 – 2022/11/30 23:59,2022-10-20 20:00:00,2022-11-30 23:59:00
Allite CF1 多功能車用手機架｜首創 3-in-1 無線充電・磁吸支架・舒心擴香一次到位！ ,Allite ,1510682.0,1540.0,https://www.zeczec.com/projects/allite-cf1,"告別傳統手機架！創新結合 MagSafe 技術與擴香功能，打造一次到位的車用配備。CF1 全方位手機架，完美提升駕車體驗！ ,zeczec",23 天,2022/10/25 12:00 – 2022/12/07 12:00,2022-10-25 12:00:00,2022-12-07 12:00:00
PowerFun 動力趣｜72合一電動智慧積木組｜相容樂高，一起變身動感積木！,makerzoid,924890.0,2280.0,https://www.zeczec.com/projects/powerfun,"最超值的動感積木組合，能避障、感應物體及燈光、還能控制通電！ 72種造型、四大主題一次滿足，還可以與其他積木相容，讓家中原有積木全都跟著PowerFun一起變成動感積木！,zeczec",17 天,2022/10/18 10:30 – 2022/11/30 23:59,2022-10-18 10:30:00,2022-11-30 23:59:00
