商品名稱,品牌名稱,累積金額,商品單價,商品網址,商品規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束,新品入榜
 Moto 導航｜別再用手機導航了！專為機車而生，騎乘體驗再升級，IP67 防暴雨、全車種適用,Beeline Taiwan,2608310,4890,https://www.zeczec.com/projects/beeline-moto,"別再用手機導航了！面對台灣夏天、雨季，手機還在日曬雨淋？電池被大太陽曬到壞，遇到雨天更怕淋到故障！,zeczec",38 天,2023/01/10 20:00 – 2023/02/23 02:00,2023-01-10 20:00:00,2023-02-23 02:00:00,✅
三眼斜口鉗 | 第一把可替換刀片的斜口鉗，超鋒利，更耐久,PolarLab 亟能實驗室,1694412,1150,https://www.zeczec.com/projects/nipper,"熱銷萬組的亟能美工刀團隊推出新產品，三顆螺絲替換刀片搭配獨家專利機構，從此工具不再舊了就丟，隨時維持最高規格的剪切效果。,zeczec",37 天,2023/01/10 12:00 – 2023/02/22 02:01,2023-01-10 12:00:00,2023-02-22 02:01:00,✅
【 BAYU｜百變專業車載工具箱 】五合一人氣工具隨換即用，解決愛車清潔/戶外露營所有需求！,BAYU,1554040,6980,https://www.zeczec.com/projects/bayu,"專從內行車痴人氣榜中精選誕生的業界超強工具組合，時尚簡約一包成形，拆裝組合式設計，共享一個外接電源，喀喳變形！各種常用車載工具上手感體驗感原地爆炸，強大專業性能滿足愛車狂人與露營愛好者的一切幻想！,zeczec",31 天,2023/01/10 12:00 – 2023/02/16 02:00,2023-01-10 12:00:00,2023-02-16 02:00:00,✅
全球投影領導品牌 3C達人第一推薦！【LC Yaber 超輕薄掌上投影機】高畫質1080P內建喇叭！,宏勤生活科技有限公司,1430147,8990,https://www.zeczec.com/projects/yaber,"世上最輕薄掌上投影機，1080P高畫質解析度 搭配高音質喇叭，內建Google商店，投影品牌第一首選!!,zeczec",58 天,2023/01/12 21:00 – 2023/03/14 23:59,2023-01-12 21:00:00,2023-03-14 23:59:00,✅
【Mini健身房】KIT GYM 核心肌 | 5合1全方位訓練設備，讓你在家=在健身房=皮拉提斯,KIT SPORTS X有設計,1121204,7999,https://www.zeczec.com/projects/KITGYM-TW,"零死角全方位訓練！擁有100+種訓練動作，從皮拉提斯>重訓>有氧>核心>伸展，隨你無縫切換！一台可充分鍛煉全身肌肉與核心群的多功能運動設備,zeczec",40 天,2023/01/11 10:30 – 2023/02/24 23:59,2023-01-11 10:30:00,2023-02-24 23:59:00,✅
《再一次，把清邁放口袋》新書募資計畫,dato,919939,580,https://www.zeczec.com/projects/chiangmai_again,"★疫後旅行全新考察，重整心情即刻出發 ★與你分享日常體驗、質感咖啡、在地美食、優質選物 ★文庫本開本輕便帶著走，短天數清邁旅行簡單上手,zeczec",29 天,2023/01/10 21:00 – 2023/02/13 23:59,2023-01-10 21:00:00,2023-02-13 23:59:00,✅
 鯨之鳴 手作 3D 音樂盒｜用手作的溫潤譜出專屬記憶的旋律,鯨之鳴,768400,2890,https://www.zeczec.com/projects/whalesound,"一款專屬於你的陪伴音樂盒，從組裝到上色，挑選自己最愛的那曲子，從裡到外每一分精緻細節毫不馬虎，獻給最特別的你,zeczec",37 天,2023/01/10 12:00 – 2023/02/22 02:59,2023-01-10 12:00:00,2023-02-22 02:59:00,✅
【Capsule Gravity l 重力時間膠囊】翻轉時間管理大師，放電十分生產力!,STORM2 Taiwan,709397,1280,https://www.zeczec.com/projects/capsule-gravity,"延續著賽博朋克概念的【Capsule Gravity l 重力時間膠囊】全新登場，翻轉高效即刻啟動，時間炸彈刺激你的集中精神！翻轉進入超集中模式，重新奪回時間的掌控權！,zeczec",31 天,2023/01/12 12:00 – 2023/02/16 02:00,2023-01-12 12:00:00,2023-02-16 02:00:00,✅
HENSON SHAVING 航空鋁刮鬍刀｜完美30°剃刀設計、超輕量38g、前所未有的舒適刮鬍感！,HENSON SHAVING,663727,2580,https://www.zeczec.com/projects/henson-shaving,"日本募資破千萬、超過千位支持者！一次購買，永久使用，你的最後一支刮鬍刀！,zeczec",40 天,2023/01/10 10:30 – 2023/02/24 23:59,2023-01-10 10:30:00,2023-02-24 23:59:00,✅
Back To Retro!!【日本老帳職人全新力作】BAU復古小屋帳，讓露營“家”倍有感！,Calma Store At Dawn,625730,2380,https://www.zeczec.com/projects/back-to-retro-bau,"開始享受復古帳篷的獨特魅力吧！BAU復古小屋帳以流行於歐洲70-90年代的屋型帳為藍本，融入亞洲露營文化思維，適度調整老帳缺點，讓BAU更符合現代露營需求。和BAU一起去露營，你會更enjoy戶外！,zeczec",16 天,2023/01/10 12:00 – 2023/02/01 02:00,2023-01-10 12:00:00,2023-02-01 02:00:00,✅
2023 旗艦機登場👑美國 ELPHECO 絕美太空艙✨除臭感應垃圾桶，全面啟動無菌生活！,ELPHECO,10156749,3999,https://www.zeczec.com/projects/elpheco,"全天候自動殺菌除臭，丟垃圾、整理垃圾🤢不用再憋氣！殺菌率 99.9%🔥垃圾久放不易有異味，感應開蓋不沾手，垃圾廚餘輕鬆丟~,zeczec",16 天,2022/12/20 12:00 – 2023/02/01 02:00,2022-12-20 12:00:00,2023-02-01 02:00:00,
Neutral Position 回正鞋墊 ▶︎ 你的貼身足部照護師＆完美體態小幫手！,A.S.O × HM,6544736,2380,https://www.zeczec.com/projects/aso-np-shoepad,"30 年製鞋經驗 × 10 年足部健康照護專業 = 不只是鞋墊，更是改善生活困擾的好夥伴！幫助腳骨回正 × 改善腿型體態 × 左右腳對症訂製，輕鬆檢測 ▶︎ 舒服入腳 ▶︎ 走得更健康～,zeczec",4 天,2023/01/03 11:55 – 2023/01/19 23:59,2023-01-03 11:55:00,2023-01-19 23:59:00,
【 大同寶寶智慧音箱 】｜全球首創人偶造型 AI 智慧音箱，全向高音質喇叭 ＋ Google 語音助理，最親切的智慧管家到你家！,大同綜合訊電股份有限公司,6150419,3580,https://www.zeczec.com/projects/t-boy,"最熟悉的老朋友——大同寶寶數位變身超聰明管家，只要動動口就能播放高音質串流音樂，還能遙控家中智慧家電，回答各種生活小知識，全家人的需求攏 A 通！,zeczec",18 天,2022/12/20 20:00 – 2023/02/03 12:00,2022-12-20 20:00:00,2023-02-03 12:00:00,
【OSOTEK 順造】H200 黑豹｜6合1「履帶式、可平躺」無線吸拖洗地機｜隱藏王者 x 乾淨萬歲,OSOTEK TW,5474872,14399,https://www.zeczec.com/projects/OSOTEK_H200,"哇乾淨 FOREVER！！「吸塵、拖地、吸水、除菌、自清洗、熱烘乾」6項全能；「超寬幅履帶式滾刷 / 180度平躺吸拖 / 一鍵 自清洗+熱烘乾」3大獨家技術；全方位清潔力，掀起洗地機市場新革命！,zeczec",18 天,2023/01/05 12:00 – 2023/02/03 02:00,2023-01-05 12:00:00,2023-02-03 02:00:00,
