［政雄不二-機能型冰淇淋］全國首創MIT。嘴破喉嚨痛，吃不了又嚥不下。來一杯立即為你的營養補充開外掛。,政雄不二,0,1600,https://www.zeczec.com//projects/funtional-ice-cream,"/產前及術後之營養補充/流質食物或無法正常進食時/嘴破、喉嚨痛不敢進食或沒有食慾時/一般兒童 青少年 成人老年之營養補充。是最適合國人一般居家旅遊常備 最大心的好夥伴。,zeczec",40 天,2022/05/16 00:00 – 2022/06/24 23:59,2022/05/16 00:00:00,2022/06/24 23:59:00
【哈味鮮】鮮食凍乾主食餐-天然、嗜口、健康、有愛,哈中寶科技創生事業,2630,590,https://www.zeczec.com//projects/hammy,"超越罐頭的存在！將原肉塊脫水後，鎖住食物鮮美並保留營養，每餐可添加60~80g水分，超越罐頭水量，原型天然最健康！,zeczec",46 天,2022/05/15 21:00 – 2022/06/30 23:59,2022/05/15 21:00:00,2022/06/30 23:59:00
Plus+滴魚湯(珍珠龍膽石斑精粹)限量搶鮮開賣　全台首波！,陳有鮽,0,13500,https://www.zeczec.com//projects/bonanzafreshplus,"從海洋到餐桌，結合科技做出的珍珠龍膽石斑精粹，全魚慢火熬煮萃取，因為在乎您的營養，Plus+滴魚湯想給您更多plus+營養。,zeczec",61 天,2022/05/14 09:00 – 2022/07/15 23:59,2022/05/14 09:00:00,2022/07/15 23:59:00
樂屋裡우리 ｜歐爸正韓魚板年糕 X 台韓混血泡菜｜不用出國也能品嚐最道地韓國味！,樂屋裡우리,2050,400,https://www.zeczec.com//projects/TheWoori-korea,"歐爸為愛飄洋過海成了台灣女婿，初次品嚐台灣農產品就決定要與韓式結合，堅持正統韓式風味，年糕、魚板等食材，甚至所有調味原料都來自韓國原裝進口！！,zeczec",47 天,2022/05/13 12:00 – 2022/07/01 23:59,2022/05/13 12:00:00,2022/07/01 23:59:00
Zorloo Zophia 有線.無線兩用耳機｜方便、HiRes + MQA 一次擁有,鴻絡國際有限公司,23640,4500,https://www.zeczec.com//projects/zorloo-zophia,"選擇「有線高清音質」或「無線方便自在」相信是許多發燒友的困擾，世界首款支援 HiRes 和 MQA 的耳機並配備無線功能誕生。有線.無線｜由你.決定。,zeczec",31 天,2022/05/13 11:00 – 2022/06/15 23:59,2022/05/13 11:00:00,2022/06/15 23:59:00
MagFlött 磁吸立架 | 一秒讓你的 iPad 「飄」起來，你的 iPad 就是 iMac！,Magflott Taiwan,390980,2790,https://www.zeczec.com//projects/magflott,"專為 iPad Pro & iPad Air 而生的簡約支架，全金屬切割、360° 旋轉與 180° 翻轉，讓手中的 iPad 更能成為全方位生產工具，與肩頸痠痛說 bye bye！,zeczec",41 天,2022/05/12 11:15 – 2022/06/25 23:59,2022/05/12 11:15:00,2022/06/25 23:59:00
UND 能量咖啡｜全台第一無糖低卡高蛋白，蘊含能量的咖啡界超跑,澄蔚創新有限公司,4200,1050,https://www.zeczec.com//projects/undcoffee,"還在喝高糖高脂的罐裝咖啡？想健身美體同時又想享受咖啡的美味？全台首創無糖低卡富含蛋白質與MCT的能量咖啡，飲用後快速轉成能量，提神醒腦又兼具維持體態！,zeczec",58 天,2022/05/12 00:00 – 2022/07/12 23:59,2022/05/12 00:00:00,2022/07/12 23:59:00
繫上輕盈 零著感 無金屬帶頭 顛覆您對皮帶的想像,EDJO皮革製作所,2648,1260,https://www.zeczec.com//projects/EDJO-leather,"原創專利設計 - 無金屬扣皮帶 五金帶頭的笨重 讓我們為您解鎖 ﻿羽量級的舒適 我們與您共同成就,zeczec",46 天,2022/05/11 11:00 – 2022/06/30 23:59,2022/05/11 11:00:00,2022/06/30 23:59:00
xTool M1 三合ㄧ雷雕機 | 雷雕、雷切 & 刀割的夢幻聯手,Makeblock,18990435,30980,https://www.zeczec.com//projects/xtool-m1,"動手玩創作，但雷雕機要1台、切割機又要買1台… 當個 Maker，難道只能【抱歉了錢錢】嗎 TAT？小朋友才選擇，試試全都要的 xTool M1 吧！,zeczec",23 天,2022/05/10 20:00 – 2022/06/08 02:00,2022/05/10 20:00:00,2022/06/08 02:00:00
YOX升級版第二代水牙線丨史上最mini丨沖牙器丨清潔牙縫丨按摩牙齦丨清新口氣丨預防蛀牙,火星創造,47040,3360,https://www.zeczec.com//projects/yox,"去除食物殘渣、牙齦護理、高效潔牙，YOX升級版第二代水牙線丨沖牙器一機搞定!,zeczec",34 天,2022/05/10 20:00 – 2022/06/19 02:00,2022/05/10 20:00:00,2022/06/19 02:00:00
綠禾SunnyGrasses(天然蜂蠟牙線紙盒)原取自天然ㄟ蜂蠟牙線，清新天天好心情!,Dannii Lo,1277,289,https://www.zeczec.com//projects/sunnygrasses,"綠禾SunnyGrasses/提供紙盒裝牙線捲替換取代傳統牙線塑膠盒,可重複裝填減少丟棄,zeczec",36 天,2022/05/10 20:00 – 2022/06/20 23:59,2022/05/10 20:00:00,2022/06/20 23:59:00
全面掌握行車安全，首創可提醒前方測速照相！CROXERA® M 智慧後照鏡,CROXERA,2139252,3980,https://www.zeczec.com//projects/croxera-m,"結合分離式運算技術與全新開發智慧聯網裝置，打造跨品牌、不分油電車款可使用的智慧後照鏡－跨世代機車安全服務,zeczec",37 天,2022/05/10 12:00 – 2022/06/21 23:59,2022/05/10 12:00:00,2022/06/21 23:59:00
