【BADGE︱MMS-P3防護機能外套】穿搭即是防疫，一件就型,BADGE,0,2980,https://www.zeczec.com/projects/badge-mms-p3,,41 天,2022/07/05 11:00 – 2022/08/14 23:59,2022/07/05 11:00:00,2022/08/14 23:59:00
【SAVING POWER 3合1 無線充電座】解放你的無線生活,SAVING POWER,6748,1134,https://www.zeczec.com/projects/wireless_savingpower,,29 天,2022/07/04 20:00 – 2022/08/03 02:00,2022/07/04 20:00:00,2022/08/03 02:00:00
【向世界問好】 T 恤預購案 / 用各國文字打招呼 /低調台灣高度友善 /夜光特效版, Honey Time 哈妮來,2020,680,https://www.zeczec.com/projects/Say-Hello,,37 天,2022/07/02 00:00 – 2022/08/10 23:59,2022/07/02 00:00:00,2022/08/10 23:59:00
【我可以自己來！】為身心障礙青年蓋水耕農場,天主教中華聖母基金會,4000,100,https://www.zeczec.com/projects/lovesolcfarm,,26 天,2022/07/01 12:00 – 2022/07/31 02:00,2022/07/01 12:00:00,2022/07/31 02:00:00
【小皮馬滑動造型椅】｜解放孩子的活躍力、超防水、耐刮貓抓皮,伊俐傢家居,6000,3500,https://www.zeczec.com/projects/sliding-horse,,27 天,2022/07/01 12:00 – 2022/07/31 23:59,2022/07/01 12:00:00,2022/07/31 23:59:00
特輯土產,"TU, YING-HAO",2500,47900,https://www.zeczec.com/projects/gifts-of-taiwan-land,,42 天,2022/06/30 22:00 – 2022/08/15 23:59,2022/06/30 22:00:00,2022/08/15 23:59:00
404Oligo機能性巧克力 [ 世界第一款｜臺灣在地南投產可可X半乳寡糖益生元｜精製糖OUT ],404Oligo,61225,750,https://www.zeczec.com/projects/oligo404,,41 天,2022/06/30 21:00 – 2022/08/15 02:00,2022/06/30 21:00:00,2022/08/15 02:00:00
【 GPLUS｜GP 大黑鯨，多功能吸拖刷洗地機 】除塵、濕拖、自動清洗七合一，CP 值王者！,GPLUS,926813,7680,https://www.zeczec.com/projects/gplus,,24 天,2022/06/30 12:00 – 2022/07/29 02:00,2022/06/30 12:00:00,2022/07/29 02:00:00
VARCO 天然木材×日本職人×牛皮製成 | 輕巧極簡・收納性佳・攜帶方便・增添時尚,varco,8730,2980,https://www.zeczec.com/projects/varco,,58 天,2022/06/30 12:00 – 2022/08/31 23:59,2022/06/30 12:00:00,2022/08/31 23:59:00
宅小妹｜遙控器｜保護套｜果凍套「抗菌+夜光」新科技融入現代新生活!,聯合總部 Federal Headquarters,3521,199,https://www.zeczec.com/projects/hgcase,,26 天,2022/06/30 12:00 – 2022/07/30 23:59,2022/06/30 12:00:00,2022/07/30 23:59:00
