projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end
浪愛拾起，毛孩有你-流浪動物公益市集展覽,羅珮慈,500.0,200.0,https://www.zeczec.com/projects/shihmao,"歡迎與我們一起以教育推廣為出發點，帶大家從了解開始，從頭關心起流浪貓狗議題。,zeczec",58 天,2022/10/21 08:00 – 2022/12/21 23:59,2022/10/21 08:00:00,2022/12/21 23:59:00
【GOGOLIFE倒數桌鐘】讓您感受時間分秒的流逝，珍惜此時此刻，追尋生命中真正重要的事物,GoGolife_tableclock,14960.0,688.0,https://www.zeczec.com/projects/GoGoLife_TableClock,"楊志淵醫師，GoGoLife倒數桌鐘募資發想人，因親人肝癌在鬼門關前走了一遭，楊氏夫婦二人感悟生命的脆弱與短暫，萌發珍惜分秒的想法而開發倒數桌鐘來幫助我們把握當下!,zeczec",44 天,2022/10/20 20:00 – 2022/12/07 23:59,2022/10/20 20:00:00,2022/12/07 23:59:00
好日曆與你的 2023 年｜一本做成日曆的生活陪伴指南,好日曆,26640.0,1285.0,https://www.zeczec.com/projects/calendar-tw,"最具生活儀式感的療癒帳號，45 萬讀者熱切期盼推出的首次實體日曆；從一篇 IG 貼文，走到你桌上的一頁指引,zeczec",14 天,2022/10/20 16:00 – 2022/11/07 02:59,2022/10/20 16:00:00,2022/11/07 02:59:00
【CA160-超疏水膜】滴水不沾、視線清晰、持久耐用！地表最強防雨貼膜,淨對流 X 科學研選,2056471.0,390.0,https://www.zeczec.com/projects/ca160,"世界首款奈米微針超疏水膜。經科學實測，不沾水能力與耐用度皆為市售最強！輕鬆提升雨天行車安全，保持優雅好心情~,zeczec",57 天,2022/10/20 13:00 – 2022/12/20 23:59,2022/10/20 13:00:00,2022/12/20 23:59:00
▍Suzzi 雙芯護淨蓮蓬頭 ▍三重防護，打造純淨水，耗材減量愛護地球,Suzzi,250138.0,999.0,https://www.zeczec.com/projects/suzzishower,"你在乎飲用水，是不是卻忽略了生活用水? 首支以""台灣水質""而設計的蓮蓬頭，只需從出水末端就可以簡易、快速、輕鬆改善水質。,zeczec",37 天,2022/10/20 12:00 – 2022/11/30 03:00,2022/10/20 12:00:00,2022/11/30 03:00:00
【Circle By Circle，孩子的教養旅程一步不漏】0-1.5 歲寶貝限定！唯一幫助你突破教養不一致訂閱制教具＋給照顧者的完整指引 ,Circle By Circle 圈圈玩旅,283400.0,1500.0,https://www.zeczec.com/projects/circle-by-circle,"◖◖ 不只是教玩具，以醫學、科學為基礎，融合跨學派教育理論; 前樂高 LEGO 設計總監＋五大領域專家共同創作，依月齡精細劃分，陪你輕鬆解鎖寶寶每一個發展里程碑！◗◗,zeczec",37 天,2022/10/19 11:00 – 2022/11/30 23:59,2022/10/19 11:00:00,2022/11/30 23:59:00
淨瓶小熊｜PH9 不傷瓶-超鹼性萬用清潔錠 ，瓶器再髒再臭，10min一錠終結！,淨瓶小熊 Bolar Bear,112767.0,448.0,https://www.zeczec.com/projects/bolarbear,"泡完=洗完的懶人清潔神器，PH9鹼性發泡清潔微錠，只需15分鐘 高效、深層、全面清潔，不管是瓶器、餐具、環保吸管，淨瓶小熊 一錠搞定! ,zeczec",59 天,2022/10/19 09:00 – 2022/12/22 23:59,2022/10/19 09:00:00,2022/12/22 23:59:00
Piazoo鍵盤上的動物園 ｜專為鋼琴初學者設計 | 音樂遊戲卡牌,楊乃潔,92660.0,490.0,https://www.zeczec.com/projects/piazoo,"一款專為鋼琴初學者設計的音樂遊戲暨創作卡牌。透過多變的遊戲方法，從中熟悉各項彈鋼琴時會用到的音樂元素，亦可隨心所欲的根據卡牌內容玩創作。進入鋼琴學習的世界，從玩不膩的卡牌遊戲開始！,zeczec",25 天,2022/10/18 21:00 – 2022/11/19 02:00,2022/10/18 21:00:00,2022/11/19 02:00:00
這真的太 G8 了！由玩家們舉辦的遊戲展，給你更不一樣的體驗！,G-EIGHT 巨罷娛樂,650333.0,990.0,https://www.zeczec.com/projects/geight2022,"一個由玩家自己籌辦，屬於玩家的電玩展。 為台灣獨立遊戲為主打的遊戲展，今年冬季隆重開展~,zeczec",27 天,2022/10/18 20:00 – 2022/11/20 23:59,2022/10/18 20:00:00,2022/11/20 23:59:00
我今天跟你說過 Hi ! 了嗎？2023 超 mini 小日曆｜3D浮雕燙金★日本巴川紙｜給朋友的耶誕節最佳禮物！,羅曼朵婚卡,3510.0,880.0,https://www.zeczec.com/projects/hdh-mini,"親愛的，久違了，別來無恙？一場疫情，我們距離太遠、擁抱太少。我們已錯過許多昨日的彼此，期待 2023 年的每個今天，都能說聲 Hi，不見不散！,zeczec",18 天,2022/10/18 20:00 – 2022/11/11 23:59,2022/10/18 20:00:00,2022/11/11 23:59:00
PowerFun 動力趣｜72合一電動智慧積木組｜相容樂高，一起變身動感積木！,makerzoid,445190.0,2280.0,https://www.zeczec.com/projects/powerfun,"最超值的動感積木組合，能避障、感應物體及燈光、還能控制通電！ 72種造型、四大主題一次滿足，還可以與其他積木相容，讓家中原有積木全都跟著PowerFun一起變成動感積木！,zeczec",37 天,2022/10/18 10:30 – 2022/11/30 23:59,2022/10/18 10:30:00,2022/11/30 23:59:00
