projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end,new_product
小芳純森🌳空氣淨化擴香儀 | 瞬間淨化空氣×精油長效擴香 | 國家級認證99.9%淨化率,BRISE 空氣淨化專家,496836,1190,https://www.zeczec.com/projects/snano,"史上最輕巧的「空氣淨化」擴香儀！0.02秒瞬間分解房間異味、99.9%病菌！還原最原始的精油香氛，6x6公分超迷你，車上房間都可用！一起打造舒適又安全的個人空間。,zeczec", 15 小時,2022/11/15 21:00 – 2023/01/03 23:59,2022/11/15 21:00:00,2023/01/03 23:59:00,
原力出咧！助力來吧！集氣送啦！➠➠ 2022 原棒協關懷盃小球員獎助學金群募中！ ,中華民國台灣原住民族棒球運動發展協會,86942,1029,https://www.zeczec.com/projects/carecup-2022,"伴原鄉小球員留在球場開心成長，推明日新球星前進世界振翅飛揚！原棒協延續去年關懷盃助學金計畫，願集眾人之力，一起將希望與能量送進原鄉棒球隊伍，替原住民小球員助跑起飛，航向更踏實無憂的棒球之夢。,zeczec",36 天,2022/12/10 12:00 – 2023/02/07 23:59,2022/12/10 12:00:00,2023/02/07 23:59:00,
GG褲 海洋系｜來自大海的淬鍊，獨家使用來自大海的SEAWOOL® 海毛紗，兼具舒適/輕薄/快乾/恆溫蓄熱/永久除臭 功能,URBAN CREW,1287180,980,https://www.zeczec.com/projects/GGCOOLSEA,"熱賣超過200萬的【GG褲(森林系)】推出全新海洋系！太空ionic+太空銀纖維 結合 SEAWOOL® 海毛紗，一次擁有 遠紅外線∕恆溫舒適∕吸濕排汗∕99% 抗菌防臭∕3D立體囊袋∕防磨腰頭...,zeczec", 15 小時,2022/11/01 11:30 – 2023/01/03 23:59,2022/11/01 11:30:00,2023/01/03 23:59:00,
一鍵全自動充氣－Jodo！啵啵椅，隨身專屬沙發，讓世界美景都變成你家客廳,Jodo！,2023160,4280,https://www.zeczec.com/projects/jodo-pop-chair,"21 世紀可以把沙發帶出家門了！突破市面充氣用具的設計思維，一鍵按下立刻自動充氣，你的「個人專屬沙發」就此誕生～圓弧椅身打造雲朵包覆坐感，不管是草地、海邊、露營都像在家一樣舒適。,zeczec",19 天,2022/12/21 12:00 – 2023/01/21 23:59,2022/12/21 12:00:00,2023/01/21 23:59:00,
XpreSole® Blocks 全防水積木咖啡靴｜踏出童心，擺脫潮濕！無論晴雨，每一步都輕盈乾爽,Lab22 Taiwan,3004552,4530,https://www.zeczec.com/projects/xpresole-blocks,"Blocks 積木咖啡靴｜由咖啡渣製成、防水、透氣、舒適、超輕、乾爽等 12 項超強機能，加上獨家積木鞋底，帶你找回童心，穿出風格！,zeczec",4 天,2022/10/31 12:00 – 2023/01/06 23:59,2022/10/31 12:00:00,2023/01/06 23:59:00,
陳明珠｜首張迷你音樂專輯《有心人是》募資計畫,有禾工作室,332512,680,https://www.zeczec.com/projects/mingchu-heartwithin,"《有心人是》有心的你，讓明珠用四首歌的時間，幫你把心裡面想對有心人說的感謝、思念、滿滿的愛，唱給對方聽！也送有心的你，宇宙中有你心的亮光。,zeczec",57 天,2022/12/25 12:00 – 2023/03/01 02:00,2022/12/25 12:00:00,2023/03/01 02:00:00,
【營養正義】8合1頂級瑪卡精胺酸鋅 | 只賺您100圓左右的合理利潤 | 全成分世界頂尖大廠品牌原料,BIO O BioMed 百圓生醫科技,774921,3447,https://www.zeczec.com/projects/bio-o-maca-sport-plus,"你受夠了市面上有效成分不足貴又無感的增強體力產品嗎?新的一年就是要滿滿元氣與強大體力!8大頂級爆量營養素，一盒30包給您30日滿載補給，體驗最有感的增強體力!除了一支抵8支之外，還幫您省荷包!,zeczec",28 天,2022/12/23 12:00 – 2023/01/31 02:00,2022/12/23 12:00:00,2023/01/31 02:00:00,
【玩色時尚．MIZAI 無線真空保鮮機】突破專用袋限制，全方位守護您的居家食品保鮮！,MIZAI x 有設計,6349120,1780,https://www.zeczec.com/projects/mizai-food-preservation,"超值首選！智慧偵測、無線輕巧、時尚美型，兼具大吸力與續航力，由台灣智能家居品牌MIZAI設計打造，不只一機多用，同時是業界適用包裝材質最多的保鮮機！,zeczec",11 天,2022/11/23 10:30 – 2023/01/13 23:59,2022/11/23 10:30:00,2023/01/13 23:59:00,
[100% 原創] P-Flash 智慧並聯式，金屬閃光彈行動電源,LMC & Co.銅雀股份有限公司,1330280,2380,https://www.zeczec.com/projects/p-flash,"1:1 閃光彈造型，拉掉安全插銷後保險桿立即彈開並點亮手電筒。 無限擴充式行動電源。讓您不論身處何種戰場，都能有源源不絕的電力與中二力！,zeczec",15 天,2022/12/22 21:00 – 2023/01/17 23:59,2022/12/22 21:00:00,2023/01/17 23:59:00,
【 大同寶寶智慧音箱 】｜全球首創人偶造型 AI 智慧音箱，全向高音質喇叭 ＋ Google 語音助理，最親切的智慧管家到你家！,大同綜合訊電股份有限公司,4522178,3580,https://www.zeczec.com/projects/t-boy,"最熟悉的老朋友——大同寶寶數位變身超聰明管家，只要動動口就能播放高音質串流音樂，還能遙控家中智慧家電，回答各種生活小知識，全家人的需求攏 A 通！,zeczec",10 天,2022/12/20 20:00 – 2023/01/13 12:00,2022/12/20 20:00:00,2023/01/13 12:00:00,
【 bitplay 全天候防水輕量風雨衣 】都會風格的超機能防風雨外套,bitplay,634240,4690,https://www.zeczec.com/projects/bitplay_wandercoat,"專門為台灣潮濕黏膩的氣候設計，專業戶外等級全防水 x 都會經典風衣版型 x 最新專利機能布料，快速收納攜帶，適應天氣變化、百搭不同身型的防風雨大衣。,zeczec",10 天,2022/12/12 12:00 – 2023/01/12 23:59,2022/12/12 12:00:00,2023/01/12 23:59:00,
Aries 快拆式大錐刀磨豆機 ｜83mm 3 秒快拆式鍍鈦錐刀，5 段式可調式研磨轉速，在家就能享受頂級精品咖啡風味,米克斯酷,9247000,29900,https://www.zeczec.com/projects/aries,"在家喝咖啡也能很享受。專為咖啡痴匠心打造的 Aries 磨豆機，獨家 3 秒刀盤快拆設計，結合 83mm 鍍鈦錐刀，為每一次磨豆留下最純粹風味，只留口齒餘香給您。,zeczec",15 天,2022/11/15 21:00 – 2023/01/17 23:59,2022/11/15 21:00:00,2023/01/17 23:59:00,
【日本 ATEX｜V 型溫感指壓按摩椅墊】日本專利設計、工藝級按摩科技，小而有力。肩 / 頸 / 臀，真人感全方位按摩，一台搞定！,日本ATEX,7069055,3980,https://www.zeczec.com/projects/atex-v,"風靡全日本美臀推拿機，8 顆按摩球打造 3D 深層按摩，一台包辦按摩肩頸、腰部和臀部，布套可拆卸機洗。,zeczec",30 天,2022/11/17 12:00 – 2023/02/01 23:59,2022/11/17 12:00:00,2023/02/01 23:59:00,
#全球獨創技術 DarMo® 達摩經絡儀 | 疏通經絡促進循環幫助睡眠、輕鬆減壓,DarMo® 達摩經絡儀,1069657,16800,https://www.zeczec.com/projects/DarMo,"整合３大領域「中西醫、自然醫學」與 王唯工教授 建立的氣血共振理論基礎，開發出「減壓舒眠經絡儀」，透過微電流電導場共振技術，與人體經絡同步共振，激發人體自癒潛能， 讓我們都能往 更平衡 的狀態前進,zeczec", 15 小時,2022/11/22 10:30 – 2023/01/03 23:59,2022/11/22 10:30:00,2023/01/03 23:59:00,
量身打造專屬你的衣帽包架｜走走家具解決棘手收納困擾，改善易亂體質！,走走家具 GOGO Furniture,1469530,25500,https://www.zeczec.com/projects/cloth-rack,"容量精巧收納剛剛好，不讓衣帽架成為家中混亂的角落，妥善收納日常用品，打造清爽整齊的衣帽包空間，多種擴充配件可選擇，配出你的專屬衣帽架,zeczec",31 天,2022/12/05 21:00 – 2023/02/02 23:59,2022/12/05 21:00:00,2023/02/02 23:59:00,
