projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end
無法成為灌籃高手?沒關係，你可以很快成為投籃高手!,廖千億,0.0,63000.0,https://www.zeczec.com/projects/swishmaster,"以科學化、精準的訓練機台讓籃球愛好者短期變成投籃的高手,zeczec",52 天,2022/11/21 12:00 – 2023/01/12 23:59,2022/11/21 12:00:00,2023/01/12 23:59:00
[聽覺有障、溝通無礙]聽的見 聽的清 用的方便 訂製一款平價藍芽耳機助聽器集資案,紅螞蟻創意行銷,0.0,20000.0,https://www.zeczec.com/projects/bluetooth-hearing-aid,"訂製及輸入一款平價實用的藍芽耳機助聽器，造福聽障人士(本集資案於取得醫療器材輸入許可後履行贊助回饋),zeczec",60 天,2022/11/21 12:00 – 2023/01/20 23:59,2022/11/21 12:00:00,2023/01/20 23:59:00
愛護自己及地球，從「班巴豆奶」開始！,駿霈國際有限公司,0.0,599.0,https://www.zeczec.com/projects/beyondmilktw,"對再生農業的熱愛和對食安的注重，我們積極協助農民生產更優質的作物，再由食品科學家研究出的專利技術產出富含高纖、高鈣、高蛋白等營養素的食品來維護我們的健康，也同時因再生改念讓地球優質的環境得以永續。,zeczec",42 天,2022/11/21 12:00 – 2023/01/02 15:00,2022/11/21 12:00:00,2023/01/02 15:00:00
一款實現躺感自由、支撐且透氣的三折床墊｜AlizzZ愛麗絲-特仕版,Annahome,221850.0,7390.0,https://www.zeczec.com/projects/alizzz,"棉床本舖的AlizzZ愛麗絲床墊，推出爆炸特仕版囉！ 全新材料兼具支撐與透氣，床墊內材輕鬆更換，三折機能好實用，10晚安心睡，台灣製造工廠新鮮直送,zeczec",41 天,2022/11/20 20:00 – 2022/12/31 23:59,2022/11/20 20:00:00,2022/12/31 23:59:00
《男孩與他的太陽The Boy and His Sun》科普繪本出版計劃,程典(End Chung),0.0,500.0,https://www.zeczec.com/projects/the-boy-and-his-sun,"本企劃藉由音樂專輯、戲劇與科普繪本的結合，從音樂與影像聚焦到文字故事與思辨，讓閱聽者能更了解精神疾病與當代社會的各項議題。,zeczec",61 天,2022/11/20 15:00 – 2023/01/20 23:59,2022/11/20 15:00:00,2023/01/20 23:59:00
滾筒樂！滾餅好容 eat！用滾的餅乾模型,昇品實業有限公司,799.0,799.0,https://www.zeczec.com/projects/masterchef," 「懶人福音、手殘救星！」這是一款主打便利性的滾筒樂，造型輕巧使用簡單收納方便，內含 32 種圖案壓片。 簡單上手輕鬆成為烘焙大師！,zeczec",395 天,2022/11/20 10:00 – 2023/12/20 23:59,2022/11/20 10:00:00,2023/12/20 23:59:00
【台北時光機 - 臺北辦年貨】兒童繪本x文化桌遊,綠雷德創新,1190.0,360.0,https://www.zeczec.com/projects/GRV-LunarQ1,"綠雷德創新原創繪本，跟著繪本漫步去，在故事裡認識老臺北。可以選擇與小朋友共讀繪本，配合桌遊一起玩，看故事邊學邊玩！,zeczec",55 天,2022/11/18 20:00 – 2023/01/15 20:00,2022/11/18 20:00:00,2023/01/15 20:00:00
想成為你日子裡的夥伴｜夥伴啊熊插畫月曆組｜陪伴你每一天。,ZO.H(黃郁真),3380.0,690.0,https://www.zeczec.com/projects/awwwpartners,"人生太孤單，需要一些啊熊陪伴你。哦～啊熊帶著療癒來陪你囉❤,zeczec",22 天,2022/11/18 20:00 – 2022/12/12 23:59,2022/11/18 20:00:00,2022/12/12 23:59:00
魔幻星人|手機手繪|台灣原創撲克牌,馬揚韻,2400.0,300.0,https://www.zeczec.com/projects/MagicStarTaiwanOriginalPoker,"我是魔幻師小叮鈴，想用卡通的方式設計出童真的人物魔幻星人，也是代表魔術師本身的純真魔幻新人，讓你們進入到獨一無二初心的世界。,zeczec",30 天,2022/11/18 00:00 – 2022/12/20 23:59,2022/11/18 00:00:00,2022/12/20 23:59:00
【 I/TEMS 】保加利亞 100% 純天然香氛蠟燭｜法國調香師 Jean Niel 與藝術家聯名，天然無害的極品饗宴蠟燭,邊看台南商行,62430.0,1150.0,https://www.zeczec.com/projects/i-tems,"您知道嗎，味道可以瞬間對我們生心理產生影響。這也是為什麼某些味道，會勾起您那個美好時光及難忘旅行的回憶。這也是我們帶來這香氣的國度保加利亞，純手工澆鑄、無致癌物石化成分、無毒、無動物實驗！ 香味...,zeczec",45 天,2022/11/17 20:00 – 2023/01/05 02:00,2022/11/17 20:00:00,2023/01/05 02:00:00
