【 SAMSUNG The Serif｜三星風格電視 】從畫面美到背面，每個角度都是賞心悅目的一面。,samsung,3735420,38400,https://www.zeczec.com//projects/samsung-the-serif,"別再忍受一成不變的電視外觀設計，SAMSUNG 三星這次顛覆你對傳統電視的想像！簡約白色外框搭配 4K X HDR 10+ 超高畫質，為你的空間裝上一台藝術品！,zeczec",22 天,2022/06/07 12:00 – 2022/07/04 23:59
【 Haxson AirFan｜智慧風扇清淨機 】集結 20 項重點功能設計，只為一次性解決您所有的床上生活需求！,Haxson TW,5422581,7980,https://www.zeczec.com//projects/haxson-airfan,"10 段可調式風扇與暖風機設計，降溫消暑、居家保暖皆宜。獨立睡眠區空氣清淨機，UV-C、碳濾網與負離子淨化三合一。 多功能床頭燈與藍牙音響功能，智慧時鐘設計與多種鬧鐘模式選擇。AirFan 品質...,zeczec",10 天,2022/05/17 12:00 – 2022/06/23 02:00
【 NEWTRAL｜全球首創！腰部自動追蹤人體工學椅，久坐無負擔！】解鎖你的輕奢客製化乘坐需求，健康工作與生活，輕鬆「靠得住」！,Newtral Taiwan,6918281,10180,https://www.zeczec.com//projects/newtral,"世界上第一款「專注腰部支撐」的人體工學椅。不論是辦公、微躺，或是午睡片刻，「自動化追蹤靠腰組件」都可針對你的腰部做「追蹤支撐」。除此之外，NEWTRAL 還增加了各類客製化人因尺寸調節設計與配件...,zeczec",18 天,2022/04/21 12:00 – 2022/07/01 02:00
0.5 Wallet 雙面感應 零錢短夾｜極薄、極輕、極速感應,HANK MAX STUDIO,16713313,2480,https://www.zeczec.com//projects/wallet05,"雙面感應 × 極限輕薄 × 快收快取－日常使用最暢快的零錢短夾！,zeczec",9 天,2022/05/11 11:55 – 2022/06/21 23:59
第 20 屆臺灣同志遊行 - 「無．限．性」集資計畫,社團法人臺灣彩虹公民行動協會,81174,300,https://www.zeczec.com//projects/taiwanlgbtpride20,"臺灣同志遊行20歲了！除了每年10月底的盛大遊行外，將規劃系列活動邀請大家參與，目標讓更多人感受平權運動的推進，也獻給20年來為臺灣同志運動走上街頭的每個人。感謝有你們，讓改變成真。,zeczec",49 天,2022/06/10 11:00 – 2022/07/31 23:59
【8月出貨首批名額・即將截止】xTool M1 三合ㄧ雷雕機 | 雷雕、雷切 & 刀割的夢幻聯手,Makeblock,33736146,32980,https://www.zeczec.com//projects/xtool-m1,"動手玩創作，但雷雕機要1台、切割機又要買1台… 當個 Maker，難道只能【抱歉了錢錢】嗎 TAT？小朋友才選擇，試試全都要的 xTool M1 吧！,zeczec",9 天,2022/05/10 20:00 – 2022/06/22 02:00
蓋廟特急｜開箱土地公王新家，🔧虎爺監工日記，香民大德邊蓋邊募！,蘆洲三角頭五福宮功德會,5308732,600,https://www.zeczec.com//projects/tudigong3,"一座前所未見的當代廟宇正式動土、邊蓋邊募，集聚香民大德願力，募集最後一塊磚瓦，陪伴土地公回家！,zeczec",38 天,2022/03/07 20:00 – 2022/07/21 03:00
MUFU V30P 好神機｜前後雙錄機車行車記錄器｜內建違規偵測語音播報提醒功能幫你『省荷包』,MUFU,10000365,3890,https://www.zeczec.com//projects/mufu-v30p,"MUFU機車行車記錄器安裝使用很簡單，前後雙錄記錄影像，獨創違規點偵測語音播報，為國民省荷包，機車族必備好神機,zeczec",4 天,2022/04/07 11:00 – 2022/06/17 02:00
【SHIELD 酷熱貼】一機享受冷熱真功敷 | 全球首創、台灣製造,Aurai,8833270,1980,https://www.zeczec.com//projects/Aurai-Shield,"重新定義放鬆！再忙也要照顧自己、守護家人｜每個放鬆時刻都有歐萊依Aurai,zeczec",18 天,2022/04/13 12:00 – 2022/06/30 23:59
【 Revopoint POP 2/MINI｜攜帶式 3D 全彩高精度掃描儀 】個人化掃描建模精度再進化，逆向工程王者專業版卡位來襲！,Revopoint 3D Taiwan,11736380,13980,https://www.zeczec.com//projects/revopoint-pop-2,"更高掃描精度，更流暢的操作，更好的色彩效果，無刺激光源的紅外掃描或工業級藍光可選，檔案格式相容性高。自動對齊與自定義編輯功能設定，輕巧好攜帶的造型與簡易的連接方式。,zeczec",10 天,2022/03/16 12:00 – 2022/06/23 02:00
【聲藝】 學習聲音的藝術，幫助你談成生意，搞定關係,歐馬克,2105320,1980,https://www.zeczec.com//projects/metavoice,"成立一個幫助人們探索與認識自己的平台，提供文章、影音、線上課程、線下工作坊資源，讓人們可以活出理想的生活，成為心目中的自己,zeczec", 14 小時,2022/04/13 21:00 – 2022/06/13 23:59
【純鈦鯨魚保溫冰霸杯】獨家5大跨國專利 StrawInside™ 吸管藏起來，病毒說bye² ｜全新2.0手提把設計，贈純鈦粗吸管＆雙吸管蓋,TiKOBO 鈦工坊,7139380,2180,https://www.zeczec.com//projects/tikobo_titanium-whale-tumbler,"800ml /660ml 大容量杯身 <好輕、好洗，不卡味、不挑飲品，長效保冰保溫> 鈦頂級飲用體驗,zeczec",10 天,2022/02/25 21:00 – 2022/06/22 23:59
ZHAO KA 廚餘機：一鍵讓廚餘變綠肥，三公升大容量，和惱人味道與果蠅說再見！,罩咖科技,11542060,8180,https://www.zeczec.com//projects/zhao-ka,"生活新革命，濕黏又長蟲的廚餘已經成為過去，地表最強廚餘機問世，讓你三個月倒一次廚餘，一邊做環保的同時享受種植樂趣！,zeczec",4 天,2022/05/16 21:00 – 2022/06/16 23:59
無限再製盆栽 ｜閒置水泥塊循環再利用，搖身變成質感盆栽，化身工匠製作專屬生活用品，用拼板模具玩創藝,好你栽,92348,80,https://www.zeczec.com//projects/GoodYouPlant,"公園與街道隨處可見的閒置水泥塊，影響環境美觀與行人安全。我們透過拼板模具將水泥塊回收再製盆栽，還可做成其他生活用品，在家也能做到循環再利用，邀請您一同享受綠色與創意生活的閒逸。,zeczec", 10 小時,2022/03/15 20:00 – 2022/06/13 20:00
 數感宇宙探索課程｜為國小生打造的生活數學 DIY 影音學習組｜給孩子一堂不一樣的數學課,數感實驗室,5272978,1790,https://www.zeczec.com//projects/numeracymaker,"本課程結合數感實驗室逾 10 年數學教育經驗、史丹佛大學「成長型數學思維」理論。內容針對國小中年級以上的孩子，強調具體、跨域、手作、情境。鼓勵孩子探索思考，讓孩子愛上數學。,zeczec",15 天,2022/05/04 12:00 – 2022/06/28 02:00
【 Photontree PRO｜制霸 965 吋大畫面的 3D 頭戴顯示器 】打破空間侷限，享受精采絕倫的 3D 大電影、沉浸式遊戲！,Photontree,9169303,12900,https://www.zeczec.com//projects/PT-PRO,"日本 IPS 顯示面板 (雙2K)、支援 3D 電影、sRGB 125% 超廣色域、ESS SABRE HiFi 雙核音效，可連接手機、PS4/5、Switch、電腦等多裝置以 965 吋虛擬沉...,zeczec",28 天,2022/05/10 12:00 – 2022/07/10 23:59
WOKY ♃99純鈦濾芯陶瓷環保杯 500ml | 首創双鈦核心：濾網＋蓋芯，淨潔、原味、雲潤般瓷口觸感，為你開啟一場無拘鈦空之旅 ,WOKY,1533974,1600,https://www.zeczec.com//projects/WOKY-ZETA500ml,"從WOKY廣受好評的好口杯延伸，2022業界全新♃99鈦濾芯異元素，結合喜歡陶瓷親潤感又欲追求更高奢華品味的職人尖端新選擇。,zeczec", 16 小時,2022/04/13 12:00 – 2022/06/14 02:00
IDO 炫風減壓真空鍋｜加熱即自動旋轉，均勻攪拌解放雙手！,I DO COMPANY TAIWAN,114150,1750,https://www.zeczec.com//projects/idocompany,"高溫燒製抗菌耐酸鹼的珐瑯塗層，搭配高導熱金屬，有效利用能源。減壓真空設計噪音少，不必像傳統壓力鍋用得緊張兮兮，一指撥動氣閥即可輕鬆洩壓！鍋蓋配件還皆可拆洗，不再擔心藏污納垢！,zeczec", 14 小時,2022/05/24 20:00 – 2022/06/13 23:59
【 Tairona R-01｜真．輕巧．掌上劇院 】小巧便攜，畫質清晰。小體積，大「視」界！滿足你從 居家生活 到 戶外旅遊！,inaday's,12552930,9200,https://www.zeczec.com//projects/tairona-r-01-l-4k,"inaday's 首次推出 [ 掌上劇院 ]，堅持品質及功能性一致，絕對顛覆你對微型投影機的既定印象!!!,zeczec",8 天,2022/04/19 11:00 – 2022/06/20 23:59
【 Phigolf 2｜高爾夫訓練器 】全新設計登場，手感再升級！一次入園價，給你無限制的高爾夫體驗！隨時隨地，即刻揮桿！,Phigolf 高爾夫訓練器,2393449,5099,https://www.zeczec.com//projects/phigolf-2,"透過 9G 超輕量感測器，精準分析您的 6 大指標；支援 3 大超夯高爾夫 APP、親臨世界各大知名球場。讓你不再擔心球場預約問題，也不用看天氣臉色，疫情期間也可以在家與球友組隊線上揮桿！,zeczec", 14 小時,2022/05/18 20:00 – 2022/06/13 23:59
【IDMIX / P140 / 140W GaN 氮化鎵快速充電器】爆猛 140W 充電王者降臨！同級最高功率、支援 PD3.1、2C1A 強效輸出！,Chic Flott 奇舫優選,879424,2180,https://www.zeczec.com//projects/idmix-p140-140w-gan-140w-2c1a,"同級最高規格 140W 輸出功率，可支援 MacBook Pro 全速充電 & 眾多品牌之筆記型電腦、平板電腦、智慧型手機進行充電，日用、差旅、辦公、出遊，就這麼一顆，搞定你的充電事！,zeczec", 38 小時,2022/04/15 12:00 – 2022/06/14 23:59
全面掌握行車安全，首創可提醒前方測速照相！CROXERA® M 智慧後照鏡,CROXERA,2604035,4280,https://www.zeczec.com//projects/croxera-m,"結合分離式運算技術與全新開發智慧聯網裝置，打造跨品牌、不分油電車款可使用的智慧後照鏡－跨世代機車安全服務,zeczec",9 天,2022/05/10 12:00 – 2022/06/21 23:59
