 最速面紙盒 ▋TOS 紙巾供應系統 Tissue Offering System ▋ 提昇你內心的辛烷值。,HooBue,1124207,2250,https://www.zeczec.com/projects/tos-tissue-offering-system,"首創電子監測面紙殘量，全鋁合金打造，抽吧！提昇心靈馬力，一個動作讓生活細節充滿貼背感。,zeczec",39 天,2022/07/20 21:00 – 2022/09/15 23:59
《愛洗手自動給皂機》募資預購計畫｜終身保固・當您一輩子的依靠｜金馬影后陳淑芳代言｜個人衛生保護・抗疫居家必備｜長效免用電池｜洗手液台灣ＧＭＰ大廠製造,杰強國際有限公司,7425,675,https://www.zeczec.com/projects/ai-xi-shou,"愛洗手自動給皂機，為杰強國際有限公司全新推出的洗手機旗艦機種。這兩年因為疫情的發生，大家開始更注重在個人的衛生習慣，因此創辦人想推出一款提供終身免費保固的自動給皂機，提供給大眾最完善的售後服務，...,zeczec",54 天,2022/08/03 12:00 – 2022/09/30 23:59
【2022臺北喵嗚季】｜全國最大室內貓咪主題市集+綠藝概念展｜讓你和貓咪都快樂的綠藝派對｜原創感就是初心｜,喵嗚市集,51926,100,https://www.zeczec.com/projects/miaowu2022,"以綠色自然的意象概念統合布展設計，在原先的全國最大室內貓咪主題市集基礎上，以原創、設計感主題，結合文創、公益及藝術，建構室內貓咪主題展區；讓民眾能以輕鬆悠閒的心情走訪貓咪的主題世界。,zeczec",24 天,2022/08/05 12:00 – 2022/08/31 23:59
【 mokibo fusion｜無線鍵盤 】鍵盤就是觸控板！極輕極薄好攜帶，韓國研發製造，行動辦公無極限！,mokibo,5209056,2950,https://www.zeczec.com/projects/mokibo,"鍵盤本身就是觸控板！相容 98% 的平板電腦、手機，多個裝置切換，辦公生活不受限！,zeczec",23 天,2022/05/19 12:00 – 2022/08/31 02:00
常陸風月堂【萬羊羹】：日本最頂級和菓子首度登台！嚴選茨城縣極品栗子，職人傾注祖傳 70 年技術製成,常陸風月堂,162649,2599,https://www.zeczec.com/projects/manyokan,"茨城縣知名和菓子老店『常陸風月堂』選用頂尖『飯沼栗』及北海道十勝紅豆，以累積逾 70 載的技術製作出業界史無前例的絕品『萬羊羹』。,zeczec",44 天,2022/08/03 20:00 – 2022/09/20 23:59
▋人生的咖哩味~門前隱味 ▋每一口都是想家的那一味，更是人生幸福的療癒,門前隱味牛肉麵,3926836,999999,https://www.zeczec.com/projects/wumamii-curry,"我們深信每道料理都有屬於自己的一個故事，而這道咖哩帶點辛辣、有點甜，滋味濃郁、令人一口接一口，就像是門前隱味的文章般讓人欲罷不能。,zeczec",18 天,2022/07/13 15:00 – 2022/08/26 15:30
𝙈𝙞𝙟𝙞𝙡𝙮 𝘼𝙞𝙧 大氣涼拖鞋｜𝟭 鞋 𝟰 穿的機能神拖 - 急反彈、強支撐、超耐走！,Mijily 米吉利循環鞋履,1258070,1580,https://www.zeczec.com/projects/mijily-air,"這是『史上第一雙大氣控壓的涼拖鞋！』兼具四種鞋面穿法、吊掛收納、耐磨止滑、專利高支撐鞋體，同時輕盈舒適且可回收的休閒涼拖鞋。Mijily 不只賣鞋，我們更注重售後的回收機制！,zeczec",54 天,2022/08/03 12:00 – 2022/09/30 23:59
【絲路未央】創新跨界舞劇｜前世今生．愛不停歇 全台巡迴,飛天舞集,151161,150,https://www.zeczec.com/projects/silkroadneverends,"飛天舞集創團10週年創新跨界舞劇巡迴演出，舞蹈．戲劇．光雕．西塔琴．扯鈴，攜手穿越千年絲路，呈現愛與覺醒的藝術饗宴,zeczec",47 天,2022/08/04 19:00 – 2022/09/23 23:59
The Chill Tumbler 雪峰杯｜一款典雅山峰造形的冰鎮醒酒威士忌杯,ZENLET 禪與徠特,605276,2980,https://www.zeczec.com/projects/the-chill-tumbler,"以手工吹製玻璃結合不鏽鋼保冰盤，有著典雅山峰造形的醒酒冰鎮杯。讓你簡易３步驟享用風味最純淨、香氣更飽滿，且每一口都沁涼的冰鎮美酒。,zeczec",25 天,2022/07/19 12:00 – 2022/09/02 02:00
最後倒數🚨全球首發【 Logi Dock｜羅技全功能擴充底座工作站 】滿足所有連接需求、工作效率開外掛！,Logitech Taiwan,5469746,11900,https://www.zeczec.com/projects/logi-dock,"整合集線器、音視訊管理，內建降噪麥克風與擴音喇叭，電腦手機串聯，萬能工作站登場，高效工作必備 !,zeczec",5 天,2022/06/29 12:00 – 2022/08/13 02:00
